subject_name	plotting_name
Cba_parvum_NCIB_8327	Cba. parvum NCIB8327
Che_thalassium_ATCC_35110	Che. thalassium ATCC35110
Chl_chlorochromatii_CaD3	Chl. chlorochromatii CaD3
Chl_clathratiforme_BU_1	Chl. clathratiforme BU1
Chl_ferrooxidans_KoFox	Chl. ferrooxidans KoFox
Chl_limicola_DSM_245	Chl. limicola DSM245
Chl_luteolum_DSM_273	Chl. luteolum DSM273
Chl_phaeobacteroides_BS1	Chl. phaeobacteroides BS1
Chl_phaeobacteroides_DSM_266	Chl. phaeobacteroides DSM266
Chl_phaeoferrooxidans_KB01	Chl. phaeoferrooxidans KB01
Chl_phaeovibrioides_DSM_265	Chl. phaeovibrioides DSM265
Chl_sp_N1	Chl. sp. N1
Chl_tepidum_TLS	Chl. tepidum TLS
Ignavibacterium_album_JCM_16511_outgroup	Ignavibacterium album JCM16511 (outgroup)
L227_2013_bin22	L227 2013 bin22
L227_2013_bin55	L227 2013 bin55
L227_2013_bin56	L227 2013 bin56
L227_enr_S_6D_bin01	L227 enr. S-6D bin01
L304_enr_S_6D_bin01	L304 enr.  S-6D bin01
L442_2011_2014_bin64	L442 2011 2014 bin64
Ptc_aestuarii_DSM_271	Ptc. aestuarii DSM271
