ACY32015.1,ABYX01000211.1_19,35.71,2e-63,98,528
ACY32017.1,ABYX01000130.1_47,41.15,5e-44,98,378
ACY32020.1,ABYX01000071.1_17,44.41,2e-97,98,755
ACY32033.1,ABYX01000153.1_75,33.05,3e-32,88,310
ACY32035.1,ABYX01000077.1_11,59.62,2e-99,99,750
ACY32049.1,ABYX01000134.1_30,32.65,1e-70,98,608
ACY32073.1,ABYX01000113.1_27,37.6,5e-53,100,439
ACY32073.1,ABYX01000278.1_52,37.65,4e-46,100,392
ACY32073.1,ABYX01000011.1_5,37.65,4e-46,100,392
ACY32073.1,ABYX01000099.1_45,38.89,2e-45,98,387
ACY32073.1,ABYX01000252.1_101,38.55,4e-44,97,379
ACY32086.1,ABYX01000133.1_12,37.0,7e-102,98,824
CCP46342.1,ABYX01000090.1_41,49.56,6e-102,99,782
CCP46362.1,ABYX01000155.1_6,47.27,5e-113,99,864
CCP46375.1,ABYX01000077.1_6,66.37,7e-142,96,1049
ABG96268.1,ABYX01000090.1_48,45.25,2e-46,83,388
ABG96274.1,ABYX01000146.1_27,68.22,0.0,99,1323
ABG96378.1,ABYX01000078.1_1,43.75,1e-34,52,317
ABG96379.1,ABYX01000077.1_12,63.14,2e-164,100,1204
ABG96381.1,ABYX01000155.1_7,51.56,3e-175,99,1302
ABG96382.1,ABYX01000153.1_79,55.25,1e-115,92,885
ABG96384.1,ABYX01000077.1_10,57.53,3e-74,91,571
ABG96385.1,ABYX01000077.1_9,69.61,0.0,100,1428
ABG96436.1,ABYX01000077.1_5,55.78,1e-95,99,722
ABG96437.1,ABYX01000077.1_4,55.74,4e-96,99,734
ABG96438.1,ABYX01000077.1_3,68.05,2e-108,93,807
ABG96440.1,ABYX01000077.1_2,66.99,3e-129,99,957
ABG96440.1,ABYX01000153.1_78,45.64,6e-55,93,461
ABG96442.1,ABYX01000090.1_47,58.82,1e-136,98,1029
ABG96465.1,ABYX01000091.1_5,62.1,0.0,85,1373
ABG96466.1,ABYX01000275.1_23,44.44,3e-95,92,750
ABG97568.1,ABYX01000090.1_31,58.41,1e-113,97,853
ABG97571.1,ABYX01000134.1_33,42.79,2e-47,67,411
ABG97584.1,ABYX01000175.1_65,54.5,4e-138,97,1037
ABG97586.1,ABYX01000113.1_28,49.07,1e-72,100,572
ABG97586.1,ABYX01000097.1_23,37.21,7e-33,97,303
ABG97593.1,ABYX01000090.1_36,47.52,5e-177,99,1358
ABG97594.1,ABYX01000090.1_33,54.36,7e-85,99,658
ABG97599.1,ABYX01000114.1_18,47.71,5e-131,98,1015
ABG97602.1,ABYX01000146.1_23,53.69,1e-130,99,982
ABG97603.1,ABYX01000146.1_24,49.52,2e-92,97,716
ABG97604.1,ABYX01000144.1_17,40.76,2e-64,98,538
ABG97604.1,ABYX01000146.1_25,39.14,1e-49,94,432
ABG97605.1,ABYX01000146.1_26,59.06,1e-46,87,376
ABG97608.1,ABYX01000251.1_8,70.73,6e-120,96,885
