ABG94291.1,AJTQ01000040.1_40,54.22,4e-76,97,604
ABG94294.1,AJTQ01000351.1_5,58.88,3e-164,100,1204
ABG96268.1,AJTQ01000104.1_3,43.96,1e-39,83,340
ABG96378.1,AJTQ01000040.1_20,51.86,6e-78,98,619
ABG96379.1,AJTQ01000040.1_21,63.68,8e-174,100,1266
ABG96380.1,AJTQ01000040.1_22,72.08,2e-141,98,1032
ABG96381.1,AJTQ01000040.1_34,51.33,4e-177,99,1316
ABG96382.1,AJTQ01000040.1_27,59.26,8e-163,95,1198
ABG96384.1,AJTQ01000040.1_35,54.04,7e-69,96,536
ABG96385.1,AJTQ01000040.1_24,68.41,0.0,100,1407
ABG96436.1,AJTQ01000040.1_36,53.41,1e-87,97,669
ABG96437.1,AJTQ01000040.1_37,60.14,9e-112,97,837
ABG96439.1,AJTQ01000040.1_33,54.44,3e-80,95,621
ABG96442.1,AJTQ01000104.1_4,57.92,2e-149,97,1114
ABG97567.1,AJTQ01000248.1_33,63.86,1e-100,100,755
ABG97568.1,AJTQ01000351.1_17,68.54,5e-135,97,994
ABG97569.1,AJTQ01000186.1_7,34.13,6e-83,89,682
ABG97570.1,AJTQ01000353.1_14,51.35,6e-46,93,374
ABG97571.1,AJTQ01000353.1_15,61.28,1e-122,99,910
ABG97572.1,AJTQ01000349.1_3,63.47,3e-115,91,861
ABG97573.1,AJTQ01000349.1_6,64.46,1e-72,93,557
ABG97574.1,AJTQ01000349.1_7,75.62,8e-109,69,808
ABG97575.1,AJTQ01000350.1_2,69.52,0.0,94,1928
ABG97576.1,AJTQ01000351.1_2,67.05,2e-125,100,920
ABG97577.1,AJTQ01000351.1_3,81.18,2e-165,96,1193
ABG97578.1,AJTQ01000351.1_4,86.14,0.0,94,1522
ABG97580.1,AJTQ01000351.1_6,71.95,2e-153,100,1115
ABG97584.1,AJTQ01000359.1_50,43.36,1e-74,80,610
ABG97587.1,AJTQ01000351.1_10,66.16,3e-118,100,874
ABG97588.1,AJTQ01000351.1_12,72.94,0.0,94,1535
ABG97589.1,AJTQ01000351.1_13,65.13,0.0,100,1342
ABG97590.1,AJTQ01000351.1_14,56.3,5e-177,99,1313
ABG97591.1,AJTQ01000351.1_15,60.64,2e-79,93,607
ABG97592.1,AJTQ01000351.1_18,68.73,1e-117,67,881
ABG97593.1,AJTQ01000353.1_1,66.99,6e-134,42,1028
ABG97594.1,AJTQ01000353.1_2,58.82,2e-108,99,815
ABG97595.1,AJTQ01000353.1_3,54.95,3e-70,94,546
ABG97597.1,AJTQ01000353.1_4,61.34,0.0,97,1580
ABG97598.1,AJTQ01000353.1_5,71.03,0.0,98,1478
ABG97599.1,AJTQ01000353.1_6,66.79,0.0,99,1779
ABG97600.1,AJTQ01000040.1_32,54.08,8e-98,99,745
ABG97602.1,AJTQ01000353.1_7,75.19,0.0,99,1528
ABG97603.1,AJTQ01000353.1_8,64.92,5e-132,98,974
ABG97604.1,AJTQ01000353.1_9,53.77,9e-113,99,863
ABG97605.1,AJTQ01000353.1_10,67.15,7e-61,95,471
ABG97606.1,AJTQ01000353.1_11,80.21,0.0,99,1625
ABG97610.1,AJTQ01000350.1_3,56.32,1e-97,79,749
ABH00058.1,AJTQ01000350.1_1,76.81,9e-36,23,311
ABH00079.1,AJTQ01000040.1_41,56.55,0.0,97,1572
ACY32017.1,AJTQ01000369.1_7,39.92,2e-40,98,352
ACY32018.1,AJTQ01000369.1_7,40.31,1e-42,99,368
ACY32030.1,AJTQ01000186.1_6,41.01,2e-83,91,684
ACY32031.1,AJTQ01000296.1_1,37.07,6e-47,59,425
ACY32035.1,AJTQ01000040.1_23,56.8,6e-85,95,653
ACY32073.1,AJTQ01000335.1_16,38.28,2e-40,100,353
CCP46368.1,AJTQ01000352.1_1,78.51,2e-62,31,502
CCP46370.1,AJTQ01000040.1_26,60.07,8e-120,99,891
CCP46372.1,AJTQ01000040.1_25,70.78,2e-113,98,839
CCP46375.1,AJTQ01000040.1_42,58.69,4e-127,99,953
