ABG94283.1,ARTQ01000117.1_133,48.59,1e-64,98,517
ABG94291.1,ARTQ01000083.1_13,36.18,8e-42,89,373
ABG94292.1,ARTQ01000072.1_15,42.22,1e-49,85,419
ABG94293.1,ARTQ01000106.1_115,41.75,3e-65,96,529
ABG94297.1,ARTQ01000106.1_111,33.73,1e-69,89,601
ABG96268.1,ARTQ01000139.1_92,43.5,2e-46,93,389
ABG96274.1,ARTQ01000132.1_77,67.96,2e-172,99,1259
ABG96318.1,ARTQ01000116.1_96,56.41,0.0,95,1523
ABG96325.1,ARTQ01000047.1_8,32.52,7e-38,84,353
ABG96326.1,ARTQ01000069.1_16,38.81,2e-49,90,420
ABG96327.1,ARTQ01000069.1_17,33.0,1e-42,98,375
ABG96377.1,ARTQ01000106.1_39,39.24,1e-64,99,536
ABG96378.1,ARTQ01000120.1_123,49.25,3e-87,98,681
ABG96379.1,ARTQ01000120.1_124,63.31,2e-168,100,1230
ABG96381.1,ARTQ01000109.1_27,51.46,4e-168,98,1256
ABG96382.1,ARTQ01000109.1_57,55.81,1e-135,92,1019
ABG96383.1,ARTQ01000120.1_125,65.12,1e-104,97,785
ABG96384.1,ARTQ01000120.1_126,56.77,8e-74,94,569
ABG96385.1,ARTQ01000120.1_127,73.25,0.0,100,1460
ABG96436.1,ARTQ01000120.1_129,57.2,6e-93,96,704
ABG96437.1,ARTQ01000120.1_130,58.63,1e-104,94,790
ABG96438.1,ARTQ01000120.1_131,63.79,6e-110,94,818
ABG96439.1,ARTQ01000120.1_132,60.08,5e-87,97,666
ABG96440.1,ARTQ01000120.1_133,68.42,5e-143,100,1047
ABG96442.1,ARTQ01000139.1_91,57.79,5e-150,99,1122
ABG96465.1,ARTQ01000139.1_107,62.16,0.0,85,1373
ABG96466.1,ARTQ01000118.1_111,47.07,2e-109,90,845
ABG96469.1,ARTQ01000130.1_117,67.44,0.0,99,1362
ABG96471.1,ARTQ01000130.1_119,48.12,6e-91,97,705
ABG96476.1,ARTQ01000130.1_128,56.79,6e-130,99,974
ABG96477.1,ARTQ01000090.1_71,50.58,4e-147,98,1120
ABG96479.1,ARTQ01000130.1_135,54.18,7e-150,100,1111
ABG97568.1,ARTQ01000139.1_75,58.96,3e-110,95,834
ABG97571.1,ARTQ01000109.1_23,35.14,6e-50,93,426
ABG97584.1,ARTQ01000115.1_201,39.12,3e-62,82,527
ABG97585.1,ARTQ01000119.1_63,42.91,8e-53,92,442
ABG97586.1,ARTQ01000117.1_190,61.25,1e-86,91,666
ABG97594.1,ARTQ01000139.1_77,50.51,2e-87,99,676
ABG97603.1,ARTQ01000132.1_79,45.71,3e-83,97,655
ABG97604.1,ARTQ01000122.1_245,38.68,5e-56,98,480
ABG97605.1,ARTQ01000132.1_78,59.02,9e-49,85,391
ABH00053.1,ARTQ01000054.1_28,56.66,1e-147,97,1098
ACY32017.1,ARTQ01000047.1_13,38.37,2e-39,98,347
ACY32018.1,ARTQ01000066.1_21,35.46,3e-36,97,326
ACY32019.1,ARTQ01000117.1_134,42.26,1e-40,79,345
ACY32049.1,ARTQ01000109.1_20,31.78,7e-71,98,610
ACY32065.1,ARTQ01000115.1_115,38.1,1e-33,84,299
ACY32073.1,ARTQ01000060.1_4,51.37,3e-83,97,642
ACY32086.1,ARTQ01000106.1_44,37.7,4e-106,95,850
CCP46337.1,ARTQ01000130.1_121,46.49,1e-147,96,1130
CCP46338.1,ARTQ01000130.1_120,52.34,2e-82,96,639
CCP46342.1,ARTQ01000139.1_87,49.56,3e-111,99,845
CCP46344.1,ARTQ01000130.1_118,55.43,1e-114,99,869
CCP46362.1,ARTQ01000109.1_28,47.79,6e-112,99,858
CCP46368.1,ARTQ01000139.1_106,63.94,1e-171,99,1255
CCP46370.1,ARTQ01000117.1_165,60.26,2e-116,99,871
CCP46375.1,ARTQ01000120.1_128,69.36,6e-159,97,1162
CCP46386.1,ARTQ01000109.1_61,36.19,9e-31,81,293
CCP46393.1,ARTQ01000139.1_32,30.81,4e-38,82,355
