ABG94289.1,ACEX01000771.1_39,44.05,8e-43,98,142
ABG94291.1,ACEX01000650.1_4,55.47,4e-40,43,139
ABG94292.1,ACEX01000692.1_9,38.86,2e-43,86,149
ABG94297.1,ACEX01000651.1_30,54.24,4e-117,59,354
ABG96268.1,ACEX01000554.1_25,44.44,4e-44,83,147
ABG96269.1,ACEX01000555.1_4,48.71,0.0,99,555
ABG96272.1,ACEX01000409.1_2,39.61,1e-53,88,180
ABG96273.1,ACEX01000409.1_4,47.66,3e-37,91,125
ABG96274.1,ACEX01000409.1_5,67.16,7e-123,69,359
ABG96317.1,ACEX01000555.1_12,52.8,2e-86,99,262
ABG96319.1,ACEX01000654.1_19,50.19,6e-76,99,233
ABG96320.1,ACEX01000637.1_73,63.42,2e-130,99,375
ABG96321.1,ACEX01000637.1_72,58.26,1e-131,98,382
ABG96328.1,ACEX01000344.1_3,47.88,3e-48,81,158
ABG96378.1,ACEX01000028.1_1,50.0,5e-43,83,150
ABG96381.1,ACEX01000338.1_1,47.92,4e-160,98,468
ABG96382.1,ACEX01000345.1_1,55.49,7e-118,78,353
ABG96383.1,ACEX01000027.1_6,60.55,8e-93,96,278
ABG96384.1,ACEX01000027.1_5,57.14,1e-72,93,221
ABG96385.1,ACEX01000027.1_4,72.73,0.0,100,575
ABG96435.1,ACEX01000744.1_57,64.14,2e-148,97,425
ABG96436.1,ACEX01000744.1_58,57.32,4e-95,96,281
ABG96437.1,ACEX01000744.1_59,56.99,1e-98,97,293
ABG96438.1,ACEX01000744.1_60,66.12,5e-111,95,322
ABG96439.1,ACEX01000744.1_61,60.48,1e-101,95,299
ABG96440.1,ACEX01000744.1_62,66.67,9e-132,100,379
ABG96441.1,ACEX01000336.1_23,40.78,6e-62,90,199
ABG96442.1,ACEX01000554.1_26,56.93,7e-147,98,428
ABG96465.1,ACEX01000553.1_17,62.65,0.0,86,537
ABG96466.1,ACEX01000156.1_2,48.58,9e-119,93,353
ABG96469.1,ACEX01000130.1_6,67.77,0.0,100,537
ABG96470.1,ACEX01000130.1_7,56.82,1e-116,99,344
ABG96471.1,ACEX01000130.1_8,50.63,4e-96,98,289
ABG96472.1,ACEX01000554.1_30,52.49,4e-116,99,342
ABG96474.1,ACEX01000130.1_9,52.47,2e-83,94,253
ABG96475.1,ACEX01000130.1_10,44.34,2e-139,96,416
ABG96476.1,ACEX01000131.1_4,57.68,1e-140,99,407
ABG96478.1,ACEX01000398.1_1,39.84,9e-43,65,150
ABG96479.1,ACEX01000132.1_6,52.15,2e-147,100,426
ABG96481.1,ACEX01000555.1_14,52.76,3e-90,91,273
ABG97564.1,ACEX01000337.1_7,36.81,3e-57,93,190
ABG97568.1,ACEX01000555.1_14,60.06,2e-115,95,338
ABG97571.1,ACEX01000337.1_6,44.78,8e-49,67,166
ABG97576.1,ACEX01000654.1_19,52.9,6e-88,99,264
ABG97577.1,ACEX01000637.1_73,67.0,1e-136,99,391
ABG97578.1,ACEX01000637.1_72,59.21,1e-134,94,389
ABG97586.1,ACEX01000677.1_38,48.35,1e-61,92,195
ABG97591.1,ACEX01000554.1_25,41.45,4e-41,95,139
ABG97593.1,ACEX01000555.1_4,48.92,0.0,99,599
ABG97594.1,ACEX01000555.1_12,54.45,4e-87,97,264
ABG97602.1,ACEX01000132.1_6,51.28,2e-135,99,395
ABG97603.1,ACEX01000409.1_2,47.29,8e-93,98,281
ABG97604.1,ACEX01000409.1_3,37.72,4e-56,98,189
ABG97605.1,ACEX01000409.1_4,60.32,2e-49,88,157
ABG97606.1,ACEX01000409.1_5,66.91,3e-123,68,360
ABG97608.1,ACEX01000744.1_61,55.69,6e-81,98,246
ABH00046.1,ACEX01000397.1_22,28.85,5e-37,96,137
ABH00053.1,ACEX01000005.1_36,32.5,2e-39,97,146
ABH00062.1,ACEX01000637.1_73,74.49,2e-159,93,450
ABH00063.1,ACEX01000637.1_72,77.29,0.0,96,551
ABH00065.1,ACEX01000654.1_19,45.49,2e-67,99,211
ABH00070.1,ACEX01000005.1_42,44.12,6e-39,70,140
ABH00072.1,ACEX01000193.1_25,30.56,6e-53,93,182
ABH00074.1,ACEX01000345.1_6,31.13,2e-36,95,136
ABH00079.1,ACEX01000651.1_30,51.66,1e-111,61,340
ABH00080.1,ACEX01000081.1_3,41.22,1e-52,75,177
ABH00083.1,ACEX01000202.1_9,33.4,7e-78,72,258
ACY32015.1,ACEX01000445.1_8,31.44,2e-42,97,152
ACY32017.1,ACEX01000211.1_13,38.04,7e-46,98,155
ACY32018.1,ACEX01000637.1_115,38.89,1e-38,97,135
ACY32022.1,ACEX01000744.1_59,47.81,1e-86,93,263
ACY32023.1,ACEX01000744.1_58,43.15,1e-54,94,177
ACY32025.1,ACEX01000744.1_57,46.82,1e-88,96,273
ACY32026.1,ACEX01000744.1_60,48.12,8e-64,94,201
ACY32027.1,ACEX01000345.1_6,37.0,8e-73,99,233
ACY32029.1,ACEX01000027.1_4,66.75,0.0,99,526
ACY32030.1,ACEX01000314.1_5,32.19,7e-43,93,158
ACY32031.1,ACEX01000654.1_14,34.09,7e-50,90,178
ACY32032.1,ACEX01000744.1_62,53.33,1e-100,99,299
ACY32033.1,ACEX01000744.1_71,35.26,8e-43,94,154
ACY32034.1,ACEX01000345.1_1,45.1,3e-99,98,304
ACY32035.1,ACEX01000027.1_6,58.62,8e-96,99,285
ACY32036.1,ACEX01000627.1_4,50.65,2e-57,96,178
ACY32040.1,ACEX01000185.1_33,47.08,7e-103,90,311
ACY32042.1,ACEX01000185.1_32,56.38,2e-143,99,415
ACY32043.1,ACEX01000185.1_30,44.17,0.0,99,576
ACY32044.1,ACEX01000771.1_23,37.68,2e-105,98,330
ACY32045.1,ACEX01000555.1_4,32.88,3e-73,98,254
ACY32047.1,ACEX01000130.1_10,43.44,4e-134,97,402
ACY32049.1,ACEX01000337.1_3,31.53,3e-60,98,210
ACY32056.1,ACEX01000637.1_128,39.27,3e-45,95,154
ACY32066.1,ACEX01000562.1_3,29.98,5e-59,69,211
ACY32067.1,ACEX01000771.1_74,29.85,4e-40,68,154
ACY32073.1,ACEX01000324.1_10,38.31,1e-45,97,154
ACY32075.1,ACEX01000130.1_9,38.96,1e-46,89,158
ACY32076.1,ACEX01000744.1_61,51.94,1e-86,97,261
ACY32077.1,ACEX01000409.1_2,39.39,4e-64,98,207
ACY32079.1,ACEX01000409.1_4,53.12,5e-39,93,129
ACY32080.1,ACEX01000409.1_5,54.93,2e-106,72,317
ACY32081.1,ACEX01000132.1_6,49.24,1e-126,100,373
ACY32093.1,ACEX01000340.1_2,35.4,3e-53,98,182
ACY32097.1,ACEX01000637.1_72,48.8,1e-109,96,326
ACY32105.1,ACEX01000562.1_5,34.31,1e-48,93,167
ACY32106.1,ACEX01000338.1_1,50.57,5e-169,95,492
