ABG94283.1,AGSZ01000356.1_5,42.86,1e-54,99,177
ABG94284.1,AGSZ01000289.1_3,56.82,2e-49,80,157
ABG94285.1,AGSZ01000105.1_5,69.68,7e-140,100,397
ABG94286.1,AGSZ01000105.1_6,54.72,2e-90,99,270
ABG94288.1,AGSZ01000366.1_9,45.97,1e-162,98,476
ABG94290.1,AGSZ01000011.1_19,45.7,2e-65,90,204
ABG94291.1,AGSZ01000339.1_5,54.52,3e-103,94,306
ABG94292.1,AGSZ01000339.1_4,63.6,1e-98,91,291
ABG94293.1,AGSZ01000339.1_2,73.91,3e-167,99,468
ABG94294.1,AGSZ01000339.1_1,77.32,4e-156,68,442
ABG94295.1,AGSZ01000011.1_17,58.55,4e-169,96,481
ABG94297.1,AGSZ01001025.1_2,67.47,0.0,90,696
ABG96268.1,AGSZ01000188.1_7,74.09,2e-100,90,292
ABG96269.1,AGSZ01000188.1_6,56.58,0.0,99,697
ABG96270.1,AGSZ01000414.1_7,48.7,3e-62,55,198
ABG96271.1,AGSZ01000414.1_6,69.59,0.0,100,569
ABG96272.1,AGSZ01000414.1_5,62.04,3e-142,96,407
ABG96273.1,AGSZ01000414.1_4,72.22,2e-63,90,191
ABG96274.1,AGSZ01000414.1_3,79.43,0.0,99,599
ABG96317.1,AGSZ01000366.1_10,64.32,1e-71,64,220
ABG96318.1,AGSZ01000366.1_9,67.44,0.0,97,770
ABG96319.1,AGSZ01000366.1_8,73.56,8e-131,100,373
ABG96320.1,AGSZ01000366.1_7,85.91,0.0,99,525
ABG96321.1,AGSZ01000366.1_6,84.13,0.0,99,577
ABG96324.1,AGSZ01000011.1_17,61.56,5e-174,90,493
ABG96325.1,AGSZ01000188.1_1,77.48,6e-84,39,254
ABG96326.1,AGSZ01000635.1_7,77.59,2e-164,98,460
ABG96327.1,AGSZ01000635.1_6,75.59,2e-172,99,481
ABG96328.1,AGSZ01000635.1_5,73.66,6e-101,94,291
ABG96377.1,AGSZ01000491.1_2,43.6,1e-74,97,234
ABG96378.1,AGSZ01000491.1_3,55.49,2e-103,99,307
ABG96379.1,AGSZ01000491.1_4,66.06,0.0,99,511
ABG96380.1,AGSZ01000122.1_27,48.28,6e-77,90,236
ABG96381.1,AGSZ01000491.1_5,61.91,0.0,99,613
ABG96382.1,AGSZ01000491.1_6,66.92,0.0,93,536
ABG96383.1,AGSZ01000500.1_1,75.95,1e-129,89,369
ABG96384.1,AGSZ01000500.1_2,54.87,6e-77,96,231
ABG96385.1,AGSZ01000500.1_3,74.35,0.0,100,594
ABG96435.1,AGSZ01000767.1_3,71.71,2e-169,98,478
ABG96436.1,AGSZ01000767.1_2,73.58,4e-137,97,388
ABG96437.1,AGSZ01000767.1_1,73.74,3e-93,60,275
ABG96438.1,AGSZ01000375.1_1,77.99,2e-86,62,255
ABG96439.1,AGSZ01000375.1_2,68.72,1e-96,81,284
ABG96440.1,AGSZ01000473.1_7,70.63,8e-147,99,417
ABG96441.1,AGSZ01000603.1_11,70.82,3e-147,93,417
ABG96442.1,AGSZ01000198.1_9,65.94,0.0,99,545
ABG96465.1,AGSZ01000003.1_2,67.82,0.0,86,566
ABG96467.1,AGSZ01000697.1_4,56.82,4e-51,95,160
ABG96468.1,AGSZ01000697.1_3,74.83,5e-167,99,467
ABG96469.1,AGSZ01000697.1_2,80.31,0.0,100,651
ABG96470.1,AGSZ01000304.1_6,73.79,1e-131,70,379
ABG96471.1,AGSZ01000304.1_5,61.33,4e-130,93,375
ABG96472.1,AGSZ01000304.1_4,70.67,8e-176,99,494
ABG96474.1,AGSZ01000234.1_17,73.18,7e-141,95,399
ABG96475.1,AGSZ01000234.1_16,68.07,0.0,99,780
ABG96476.1,AGSZ01000234.1_15,72.97,0.0,99,536
ABG96477.1,AGSZ01000234.1_8,57.17,0.0,97,522
ABG96478.1,AGSZ01000234.1_7,55.11,2e-122,99,360
ABG96479.1,AGSZ01000234.1_6,77.35,0.0,100,638
ABG96481.1,AGSZ01000234.1_4,61.82,2e-119,96,347
ABG96482.1,AGSZ01000234.1_3,71.6,5e-129,98,367
ABG96483.1,AGSZ01000234.1_2,69.6,2e-118,96,343
ABG96484.1,AGSZ01000268.1_9,49.3,2e-112,91,336
ABG96485.1,AGSZ01000292.1_5,49.11,1e-106,99,317
ABG96486.1,AGSZ01000292.1_4,45.48,1e-90,95,277
ABG96487.1,AGSZ01000292.1_3,51.56,7e-123,82,367
ABG96488.1,AGSZ01000257.1_34,46.8,2e-107,95,323
ABG96489.1,AGSZ01000257.1_33,49.51,1e-128,86,385
ABG96492.1,AGSZ01000956.1_2,39.54,2e-58,96,188
ABG97567.1,AGSZ01000356.1_5,42.0,3e-54,99,176
ABG97568.1,AGSZ01000234.1_4,55.92,8e-103,96,305
ABG97570.1,AGSZ01000105.1_3,44.37,1e-41,94,137
ABG97571.1,AGSZ01000040.1_10,55.28,5e-103,95,304
ABG97572.1,AGSZ01000277.1_2,48.57,2e-66,82,209
ABG97574.1,AGSZ01000836.1_2,68.84,1e-134,95,385
ABG97575.1,AGSZ01000366.1_9,46.79,2e-164,94,482
ABG97576.1,AGSZ01000366.1_8,60.54,1e-102,100,301
