ABG94284.1,EHI14456.1,55.78,2e-51,89,162
ABG94285.1,EHI11872.1,56.36,2e-104,99,306
ABG94288.1,EHI11853.1,45.67,7e-161,95,473
ABG94290.1,EHI11604.1,48.74,2e-62,81,196
ABG94291.1,EHI11621.1,50.95,1e-80,81,246
ABG94292.1,EHI11622.1,67.08,3e-111,90,324
ABG94293.1,EHI11623.1,72.97,5e-161,98,452
ABG94294.1,EHI11624.1,71.76,0.0,100,600
ABG94295.1,EHI12071.1,62.02,6e-174,92,493
ABG94297.1,EHI11626.1,61.83,0.0,95,678
ABG96268.1,EHI13061.1,74.87,1e-101,91,296
ABG96269.1,EHI13060.1,58.27,0.0,96,694
ABG96270.1,EHI12088.1,45.51,2e-86,98,266
ABG96271.1,EHI12087.1,71.68,0.0,100,583
ABG96272.1,EHI12086.1,63.61,8e-147,97,418
ABG96273.1,EHI12085.1,72.09,5e-63,92,190
ABG96274.1,EHI12084.1,78.91,0.0,99,637
ABG96317.1,EHI12083.1,61.89,6e-118,99,342
ABG96318.1,EHI12082.1,65.29,0.0,92,719
ABG96319.1,EHI12081.1,75.48,2e-142,100,402
ABG96320.1,EHI12080.1,83.5,0.0,99,503
ABG96321.1,EHI12079.1,83.78,0.0,98,577
ABG96324.1,EHI12071.1,68.96,0.0,95,576
ABG96325.1,EHI13054.1,79.42,0.0,99,640
ABG96326.1,EHI13053.1,76.04,8e-160,98,449
ABG96327.1,EHI13052.1,82.61,0.0,99,513
ABG96328.1,EHI13051.1,73.94,1e-100,95,290
ABG96377.1,EHI13047.1,41.86,2e-66,97,213
ABG96378.1,EHI13046.1,55.69,3e-106,99,315
ABG96379.1,EHI13045.1,65.56,0.0,99,509
ABG96380.1,EHI11875.1,48.91,1e-81,94,248
ABG96381.1,EHI13044.1,59.88,0.0,98,595
ABG96382.1,EHI13043.1,68.18,0.0,93,539
ABG96383.1,EHI13042.1,75.57,7e-141,98,398
ABG96384.1,EHI13041.1,58.16,1e-80,96,240
ABG96385.1,EHI13737.1,71.28,0.0,100,572
ABG96435.1,EHI12100.1,73.45,4e-165,99,467
ABG96436.1,EHI12099.1,67.21,3e-129,98,367
ABG96437.1,EHI12098.1,77.16,6e-166,98,464
ABG96438.1,EHI12097.1,73.81,5e-134,98,380
ABG96439.1,EHI12096.1,64.57,3e-111,98,322
ABG96440.1,EHI12095.1,75.91,3e-156,99,440
ABG96441.1,EHI11457.1,73.38,5e-150,92,423
ABG96442.1,EHI10681.1,67.49,0.0,98,534
ABG96465.1,EHI10992.1,67.16,0.0,86,566
ABG96468.1,EHI11481.1,40.21,4e-63,100,201
ABG96469.1,EHI12069.1,80.21,0.0,99,654
ABG96470.1,EHI12068.1,74.57,0.0,99,512
ABG96471.1,EHI12067.1,62.5,2e-121,87,352
ABG96472.1,EHI12066.1,72.3,0.0,99,506
ABG96474.1,EHI12062.1,75.1,2e-143,94,405
ABG96475.1,EHI12061.1,68.73,0.0,99,783
ABG96476.1,EHI12060.1,71.43,0.0,100,529
ABG96477.1,EHI12057.1,54.69,1e-173,97,501
ABG96478.1,EHI12056.1,56.03,2e-136,99,395
ABG96479.1,EHI12055.1,79.29,0.0,100,623
ABG96481.1,EHI12053.1,65.96,1e-126,92,365
ABG96482.1,EHI12052.1,72.4,3e-128,98,365
ABG96483.1,EHI12051.1,67.4,2e-134,96,383
ABG96484.1,EHI12794.1,46.67,1e-106,91,321
ABG96485.1,EHI12442.1,44.38,2e-97,100,293
ABG96486.1,EHI12048.1,45.83,1e-94,96,286
ABG96487.1,EHI12047.1,45.77,8e-119,98,355
ABG96488.1,EHI12838.1,50.59,3e-111,83,331
ABG96489.1,EHI12045.1,50.86,1e-138,86,412
ABG96492.1,EHI10882.1,41.44,7e-60,96,192
ABG97567.1,EHI13369.1,41.33,4e-40,89,138
ABG97568.1,EHI12053.1,57.75,5e-104,90,307
ABG97570.1,EHI13490.1,49.03,5e-41,97,135
ABG97571.1,EHI13489.1,62.24,3e-114,95,332
ABG97572.1,EHI11622.1,44.83,2e-53,77,177
ABG97574.1,EHI11627.1,74.73,5e-152,95,429
ABG97575.1,EHI11853.1,46.6,1e-164,99,483
ABG97576.1,EHI12081.1,63.22,1e-111,100,323
ABG97577.1,EHI12080.1,71.85,6e-152,99,430
ABG97578.1,EHI12079.1,75.0,0.0,94,513
ABG97580.1,EHI11623.1,61.0,2e-128,99,369
ABG97583.1,EHI10677.1,51.96,3e-81,100,247
ABG97587.1,EHI13488.1,59.76,2e-95,95,282
ABG97588.1,EHI11606.1,65.25,6e-179,93,505
ABG97589.1,EHI13054.1,48.96,7e-132,99,385
ABG97590.1,EHI11603.1,47.56,1e-126,98,380
ABG97593.1,EHI13060.1,46.75,6e-172,95,511
ABG97594.1,EHI12083.1,50.35,2e-84,97,256
ABG97599.1,EHI13527.1,42.54,2e-121,96,369
ABG97602.1,EHI12055.1,49.5,8e-128,99,375
ABG97603.1,EHI12086.1,40.44,2e-71,98,224
ABG97604.1,EHI10547.1,43.36,2e-89,99,275
ABG97605.1,EHI10548.1,50.69,2e-45,96,146
ABG97606.1,EHI12084.1,68.73,0.0,98,542
ABG97608.1,EHI12096.1,51.41,4e-77,96,235
ABG97610.1,EHI11625.1,62.85,1e-160,100,455
ABH00046.1,EHI11625.1,48.62,4e-112,100,332
ABH00047.1,EHI12071.1,57.67,9e-160,97,456
ABH00048.1,EHI11624.1,66.41,0.0,100,549
ABH00049.1,EHI11623.1,60.62,6e-130,95,374
ABH00051.1,EHI11617.1,68.18,2e-118,79,342
ABH00058.1,EHI11627.1,64.6,5e-133,91,380
ABH00059.1,EHI11618.1,49.27,1e-64,93,200
ABH00060.1,EHI11619.1,55.45,1e-36,96,121
ABH00061.1,EHI11604.1,46.46,9e-58,87,183
ABH00062.1,EHI12080.1,62.17,1e-122,95,356
ABH00063.1,EHI12079.1,58.01,3e-142,94,409
ABH00065.1,EHI12081.1,59.55,1e-106,99,311
ABH00066.1,EHI11622.1,53.58,1e-93,94,279
ABH00067.1,EHI11605.1,66.73,0.0,97,763
ABH00070.1,EHI11611.1,45.51,4e-67,91,214
ABH00072.1,EHI11961.1,34.89,1e-72,95,234
ABH00074.1,EHI12162.1,56.76,6e-134,95,390
ABH00075.1,EHI12741.1,36.51,3e-35,82,127
ABH00079.1,EHI11626.1,63.15,0.0,96,702
ABH00080.1,EHI11621.1,49.8,7e-74,76,229
ABH00082.1,EHI11612.1,41.76,7e-52,92,172
ABH00083.1,EHI11615.1,45.05,3e-174,95,513
ABH00084.1,EHI11603.1,36.64,3e-77,97,253
ACY32015.1,EHI11547.1,31.15,3e-38,97,140
ACY32016.1,EHI12318.1,46.52,6e-143,99,420
ACY32017.1,EHI11194.1,42.5,5e-52,98,169
ACY32018.1,EHI14275.1,34.68,3e-36,96,129
ACY32019.1,EHI13340.1,48.76,1e-66,95,205
ACY32021.1,EHI13052.1,44.48,1e-70,97,221
ACY32022.1,EHI12098.1,42.56,6e-76,97,234
ACY32023.1,EHI12099.1,37.3,4e-48,98,160
ACY32024.1,EHI11875.1,45.1,2e-69,84,217
ACY32025.1,EHI12100.1,47.55,5e-84,95,260
ACY32026.1,EHI12097.1,44.17,6e-64,94,201
ACY32027.1,EHI13045.1,49.1,4e-130,99,380
ACY32028.1,EHI13046.1,34.58,6e-40,90,144
ACY32029.1,EHI13737.1,64.14,1e-172,99,488
ACY32031.1,EHI14137.1,37.7,1e-77,91,253
ACY32032.1,EHI12095.1,53.0,9e-107,99,314
ACY32033.1,EHI13976.1,33.52,2e-46,89,162
ACY32034.1,EHI13043.1,53.89,6e-139,98,403
ACY32035.1,EHI13042.1,61.69,2e-109,99,318
ACY32036.1,EHI10540.1,48.3,1e-48,91,155
ACY32040.1,EHI12467.1,47.78,4e-110,95,328
ACY32042.1,EHI11930.1,54.76,6e-142,100,410
ACY32043.1,EHI11929.1,43.65,0.0,98,546
ACY32044.1,EHI11682.1,36.41,1e-97,95,308
ACY32045.1,EHI13595.1,33.17,3e-88,98,295
ACY32047.1,EHI12061.1,37.89,5e-121,98,368
ACY32049.1,EHI11224.1,43.15,4e-148,98,441
ACY32052.1,EHI12071.1,28.46,6e-44,96,156
ACY32055.1,EHI11165.1,41.46,3e-110,91,337
ACY32056.1,EHI11492.1,47.45,9e-68,99,211
ACY32066.1,EHI10452.1,31.94,3e-45,53,164
ACY32067.1,EHI14124.1,47.92,0.0,99,595
ACY32068.1,EHI13911.1,37.93,7e-49,100,163
ACY32075.1,EHI12459.1,37.9,8e-41,90,142
ACY32076.1,EHI12096.1,50.19,2e-84,97,254
ACY32077.1,EHI12086.1,36.36,2e-45,87,156
ACY32078.1,EHI12056.1,31.27,4e-44,96,155
ACY32079.1,EHI10548.1,51.47,1e-45,97,146
ACY32080.1,EHI12084.1,62.08,9e-175,98,494
ACY32081.1,EHI12055.1,48.76,2e-122,100,361
ACY32082.1,EHI13026.1,37.75,3e-111,92,347
ACY32085.1,EHI12453.1,31.41,7e-44,100,155
ACY32093.1,EHI11206.1,52.23,4e-133,99,389
ACY32097.1,EHI12079.1,48.21,2e-117,97,345
ACY32099.1,EHI12081.1,42.98,8e-61,86,194
ACY32102.1,EHI13054.1,35.9,2e-80,96,253
ACY32103.1,EHI11853.1,36.97,6e-108,95,337
ACY32104.1,EHI11609.1,42.91,9e-113,90,347
ACY32105.1,EHI11625.1,46.92,1e-103,95,310
ACY32106.1,EHI13044.1,48.36,5e-157,94,460
CCP43859.1,EHI14309.1,79.38,0.0,96,571
CCP46231.1,EHI10420.1,83.04,0.0,100,994
CCP46314.1,EHI12043.1,61.39,4e-66,99,200
CCP46315.1,EHI12044.1,52.48,3e-68,95,211
CCP46316.1,EHI12045.1,69.79,0.0,77,614
CCP46317.1,EHI12046.1,65.71,0.0,100,511
CCP46318.1,EHI12047.1,63.47,0.0,94,538
CCP46319.1,EHI12048.1,65.99,7e-170,97,479
CCP46320.1,EHI12049.1,68.36,6e-154,96,437
CCP46321.1,EHI12050.1,66.5,0.0,100,539
CCP46322.1,EHI12051.1,86.07,8e-176,100,488
CCP46323.1,EHI12052.1,90.84,4e-160,99,446
CCP46324.1,EHI12053.1,75.68,1e-154,92,436
CCP46326.1,EHI12055.1,84.12,0.0,100,667
CCP46327.1,EHI12056.1,71.66,2e-180,99,507
CCP46328.1,EHI12057.1,68.55,0.0,99,647
CCP46332.1,EHI11173.1,32.91,5e-32,82,118
CCP46337.1,EHI12061.1,80.99,0.0,99,924
CCP46338.1,EHI12062.1,83.91,1e-162,99,453
CCP46339.1,EHI12063.1,64.87,2e-126,100,362
CCP46340.1,EHI12064.1,73.05,0.0,99,567
CCP46341.1,EHI12065.1,65.26,1e-93,89,275
CCP46342.1,EHI12066.1,89.21,0.0,99,618
CCP46343.1,EHI12067.1,75.09,4e-153,94,432
CCP46344.1,EHI12068.1,81.87,0.0,99,580
CCP46345.1,EHI12069.1,88.95,0.0,99,717
CCP46347.1,EHI12462.1,42.5,6e-34,91,118
CCP46348.1,EHI12071.1,82.31,0.0,96,670
CCP46349.1,EHI12072.1,63.77,2e-54,91,169
CCP46351.1,EHI12074.1,76.72,0.0,98,617
CCP46352.1,EHI12075.1,79.92,4e-150,98,421
CCP46353.1,EHI12076.1,81.6,0.0,100,627
CCP46356.1,EHI12079.1,91.81,0.0,99,642
CCP46357.1,EHI12080.1,84.95,0.0,97,509
CCP46358.1,EHI12081.1,78.16,5e-146,100,411
CCP46359.1,EHI12082.1,82.54,0.0,94,922
CCP46360.1,EHI12083.1,75.17,6e-150,100,423
CCP46362.1,EHI12084.1,91.97,0.0,100,731
CCP46363.1,EHI12085.1,80.95,3e-71,98,210
CCP46364.1,EHI12086.1,72.78,2e-169,99,474
CCP46365.1,EHI12087.1,82.35,0.0,100,671
CCP46366.1,EHI12088.1,71.81,1e-163,98,463
CCP46367.1,EHI12089.1,74.28,0.0,96,629
CCP46368.1,EHI12090.1,88.75,0.0,100,702
CCP46369.1,EHI12092.1,72.85,5e-80,100,234
CCP46370.1,EHI12095.1,83.22,0.0,100,508
CCP46371.1,EHI12096.1,75.1,4e-140,96,395
CCP46372.1,EHI12097.1,89.3,1e-161,98,449
CCP46373.1,EHI12098.1,85.76,0.0,99,519
CCP46374.1,EHI12099.1,82.19,1e-153,99,429
CCP46375.1,EHI12100.1,83.62,0.0,99,546
CCP46377.1,EHI14021.1,53.74,2e-87,97,264
CCP46378.1,EHI13040.1,82.12,0.0,100,639
CCP46379.1,EHI13041.1,84.49,2e-118,94,336
CCP46381.1,EHI13042.1,86.97,1e-162,99,453
CCP46382.1,EHI13043.1,81.56,0.0,100,652
CCP46383.1,EHI13044.1,75.73,0.0,99,764
CCP46384.1,EHI13045.1,81.51,0.0,99,621
CCP46385.1,EHI13046.1,70.12,2e-145,99,414
CCP46386.1,EHI13047.1,70.0,6e-138,97,395
CCP46387.1,EHI13048.1,81.82,0.0,99,620
CCP46390.1,EHI13051.1,82.45,3e-114,100,324
CCP46391.1,EHI13052.1,85.0,0.0,100,533
CCP46392.1,EHI13053.1,77.97,1e-169,98,474
CCP46393.1,EHI13054.1,85.19,0.0,98,701
CCP46394.1,EHI13055.1,75.28,0.0,98,544
CCP46395.1,EHI13056.1,49.1,1e-47,93,153
CCP46396.1,EHI13060.1,74.63,0.0,96,927
CCP46397.1,EHI13061.1,88.21,4e-125,98,355
