ABG94283.1,EOT05603.1,39.44,3e-40,98,140
ABG94288.1,EOS99947.1,44.5,3e-154,99,455
ABG94289.1,EOT01957.1,47.95,1e-43,95,144
ABG94290.1,EOT01956.1,61.67,9e-71,73,218
ABG94291.1,EPY92901.1,49.48,5e-68,90,217
ABG94292.1,EOS99941.1,52.89,7e-74,91,229
ABG94293.1,EOS99944.1,45.15,1e-80,97,248
ABG94294.1,EOS99942.1,41.13,9e-95,98,291
ABG94295.1,EOS99994.1,70.62,0.0,92,558
ABG96272.1,EOT04221.1,39.93,5e-52,85,176
ABG96273.1,EOT04219.1,50.0,3e-36,87,122
ABG96274.1,EPY92237.1,68.57,0.0,99,511
ABG96317.1,EOT05042.1,52.36,1e-80,98,247
ABG96318.1,EOS99947.1,46.46,9e-151,95,447
ABG96319.1,EOS99991.1,61.15,2e-106,99,311
ABG96320.1,EOS99992.2,78.91,4e-167,98,468
ABG96321.1,EOS99993.1,75.82,0.0,99,530
ABG96324.1,EOS99994.1,65.5,0.0,90,519
ABG96325.1,EOS99942.1,58.47,1e-155,98,446
ABG96326.1,EOS99943.1,55.4,8e-108,98,317
ABG96327.1,EOS99944.1,47.47,4e-87,98,264
ABG96328.1,EOS99945.1,49.34,2e-49,77,159
ABG96377.1,EOT01959.1,47.37,3e-82,97,255
ABG96378.1,EOT01960.1,50.0,5e-74,98,232
ABG96379.1,EOT01961.1,66.41,6e-175,100,495
ABG96380.1,EOT01962.1,72.66,4e-153,96,432
ABG96381.1,EOT05339.1,50.58,8e-165,97,481
ABG96382.1,EOT01963.1,65.91,0.0,92,530
ABG96383.1,EOT01964.1,62.93,1e-103,97,304
ABG96384.1,EPY93095.1,57.98,5e-74,92,228
ABG96385.1,EOT01966.2,75.32,0.0,100,587
ABG96435.1,EOS99328.1,64.06,2e-151,98,433
ABG96436.1,EOS99329.1,56.15,1e-95,96,283
ABG96437.1,EPY92899.1,58.13,6e-103,98,304
ABG96438.1,EOS97052.1,64.23,5e-117,99,337
ABG96439.1,EPY92898.1,59.62,3e-105,100,308
ABG96440.1,EPY92897.1,65.57,2e-122,100,355
ABG96441.1,EOT05162.1,47.06,6e-74,90,229
ABG96442.1,EOT04158.1,58.02,3e-150,99,436
ABG96465.1,EOT02378.1,65.44,0.0,86,566
ABG96466.1,EOS98442.1,47.79,8e-110,92,330
ABG96469.1,EOT03488.2,68.04,0.0,99,551
ABG96470.1,EOT03489.1,53.78,5e-109,100,324
ABG96471.1,EOT03490.1,49.53,2e-98,97,295
ABG96472.1,EPY92402.1,51.91,2e-104,99,312
ABG96474.1,EOT03491.2,53.79,5e-84,95,255
ABG96475.1,EOT03492.1,45.49,1e-148,96,440
ABG96476.1,EOT04621.1,55.14,6e-133,99,387
ABG96477.1,EPY92110.1,46.73,5e-109,88,339
ABG96478.1,EOT05872.1,35.86,6e-54,90,183
ABG96479.1,EOT02520.1,51.24,1e-140,100,408
ABG96481.1,EOT05040.1,50.33,4e-94,95,283
ABG97564.1,EOS99152.2,34.44,1e-50,91,172
ABG97568.1,EOT05040.1,58.77,2e-114,95,335
ABG97572.1,EOS99941.1,40.93,4e-57,94,187
ABG97574.1,EOS99943.1,44.78,7e-77,97,237
ABG97575.1,EOS99947.1,46.84,1e-150,96,446
ABG97576.1,EOS99991.1,61.15,4e-108,99,316
ABG97577.1,EOS99992.2,79.73,2e-166,97,466
ABG97578.1,EOS99993.1,78.21,0.0,95,538
ABG97580.1,EOS99944.1,45.15,1e-77,97,240
ABG97584.1,EOT03385.2,42.73,2e-69,81,225
ABG97585.1,EOS97060.1,40.24,2e-46,92,157
ABG97586.1,EOT01413.2,46.79,2e-47,99,159
ABG97588.1,EOS99994.1,60.74,5e-165,93,470
ABG97589.1,EOS99942.1,52.97,1e-149,99,431
ABG97593.1,EPY92404.1,46.96,2e-64,48,218
ABG97594.1,EOT05042.1,52.67,8e-81,99,248
ABG97599.1,EPY92110.1,48.39,6e-141,99,423
ABG97602.1,EOT02520.1,49.62,2e-130,99,382
ABG97603.1,EOT04221.1,47.0,3e-85,96,262
ABG97604.1,EOT04220.1,40.4,1e-58,94,195
ABG97605.1,EOT04219.1,64.17,6e-49,84,155
ABG97606.1,EPY92237.1,66.06,1e-171,98,487
ABG97608.1,EPY92898.1,53.47,6e-79,95,241
ABH00046.1,EOS99996.1,49.57,3e-106,97,317
ABH00047.1,EOS99994.1,64.77,1e-178,95,504
ABH00048.1,EOS99942.1,42.03,4e-91,92,281
ABH00049.1,EOS99944.1,43.77,1e-73,94,230
ABH00053.1,EOT03602.2,65.33,3e-161,89,457
ABH00056.1,EOT01957.1,46.39,5e-47,90,154
ABH00058.1,EOS99943.1,37.37,5e-63,95,202
ABH00061.1,EOT01956.1,53.77,2e-61,86,192
ABH00062.1,EOS99992.2,67.13,4e-133,91,382
ABH00063.1,EOS99993.1,58.48,1e-138,93,399
ABH00065.1,EOS99991.1,55.22,2e-92,100,276
ABH00066.1,EOS99941.1,39.84,4e-52,89,172
ABH00067.1,EOS99947.1,39.33,3e-115,92,355
ABH00072.1,EPY92418.1,46.77,1e-78,78,249
ABH00074.1,EOT04827.1,55.86,6e-130,95,380
ABH00080.1,EPY92901.1,49.76,9e-55,65,182
ABH00082.1,EOT01052.1,35.02,7e-35,89,128
ABH00083.1,EOT05656.1,31.96,3e-69,72,235
ACY32015.1,EOS98040.1,40.22,1e-78,96,247
ACY32016.1,EOT01992.1,50.32,5e-148,97,433
ACY32017.1,EOT04810.1,39.53,1e-49,99,164
ACY32021.1,EOS99944.1,39.58,2e-59,98,192
ACY32022.1,EPY92899.1,49.82,5e-91,95,273
ACY32023.1,EOS99329.1,43.57,6e-57,94,183
ACY32024.1,EOT01962.1,65.23,6e-135,93,386
ACY32025.1,EOS99328.1,47.52,6e-89,94,274
ACY32026.1,EOS97052.1,45.8,2e-64,92,202
ACY32027.1,EOT01961.1,52.84,1e-133,99,390
ACY32028.1,EOT01960.1,36.75,6e-37,89,136
ACY32029.1,EOT01966.2,66.23,0.0,99,509
ACY32031.1,EOT01883.1,38.14,3e-72,89,239
ACY32032.1,EPY92897.1,55.52,8e-96,99,286
ACY32033.1,EOS97239.2,34.58,2e-38,93,141
ACY32034.1,EOT01963.1,55.13,5e-138,98,402
ACY32035.1,EOT01964.1,60.77,1e-101,99,298
ACY32040.1,EOT01513.2,43.14,7e-94,94,288
ACY32042.1,EOT01510.1,58.95,3e-143,96,415
ACY32043.1,EOT01509.1,42.82,0.0,98,566
ACY32045.1,EOS97240.1,37.98,3e-62,44,214
ACY32047.1,EOT03492.1,42.41,2e-130,97,393
