ABG94283.1,CBMO010000024.1_85,42.46,5e-54,99,176
ABG94284.1,CBMO010000027.1_23,54.29,1e-48,85,155
ABG94285.1,CBMO010000102.1_26,56.0,2e-106,99,312
ABG94288.1,CBMO010000128.1_43,45.96,2e-163,98,479
ABG94290.1,CBMO010000036.1_5,50.0,2e-59,76,189
ABG94291.1,CBMO010000079.1_5,56.07,2e-112,96,330
ABG94292.1,CBMO010000036.1_6,65.69,5e-105,91,308
ABG94293.1,CBMO010000130.1_43,46.78,1e-86,96,263
ABG94294.1,CBMO010000036.1_7,73.54,0.0,100,613
ABG94295.1,CBMO010000128.1_11,60.55,6e-172,92,488
ABG94297.1,CBMO010000079.1_4,65.93,0.0,99,748
ABG96268.1,CBMO010000130.1_51,74.09,3e-100,90,291
ABG96269.1,CBMO010000130.1_50,55.77,0.0,99,705
ABG96270.1,CBMO010000128.1_51,45.91,6e-93,99,282
ABG96271.1,CBMO010000128.1_50,69.72,0.0,100,573
ABG96272.1,CBMO010000128.1_49,60.55,2e-138,97,397
ABG96273.1,CBMO010000128.1_48,71.43,3e-63,90,191
ABG96274.1,CBMO010000128.1_47,78.91,0.0,99,596
ABG96317.1,CBMO010000128.1_44,64.31,2e-123,98,356
ABG96318.1,CBMO010000128.1_43,66.55,0.0,97,764
ABG96319.1,CBMO010000128.1_42,73.18,3e-128,100,366
ABG96320.1,CBMO010000128.1_41,85.47,0.0,99,519
ABG96321.1,CBMO010000128.1_40,83.73,0.0,99,578
ABG96324.1,CBMO010000128.1_11,70.11,0.0,92,564
ABG96325.1,CBMO010000130.1_45,81.63,0.0,99,654
ABG96326.1,CBMO010000130.1_44,78.75,5e-166,98,464
ABG96327.1,CBMO010000130.1_43,73.91,1e-169,99,474
ABG96328.1,CBMO010000130.1_42,72.58,8e-100,94,288
ABG96377.1,CBMO010000130.1_19,44.7,8e-79,97,245
ABG96378.1,CBMO010000130.1_18,55.56,1e-100,99,300
ABG96379.1,CBMO010000130.1_17,65.8,0.0,99,514
ABG96380.1,CBMO010000136.1_89,48.66,2e-77,90,238
ABG96381.1,CBMO010000130.1_16,61.6,0.0,99,620
ABG96382.1,CBMO010000130.1_15,66.92,0.0,93,536
ABG96383.1,CBMO010000130.1_14,73.95,8e-139,98,393
ABG96384.1,CBMO010000128.1_77,55.06,4e-70,87,213
ABG96385.1,CBMO010000128.1_76,74.61,0.0,100,597
ABG96435.1,CBMO010000128.1_65,72.13,2e-170,98,481
ABG96436.1,CBMO010000128.1_64,73.98,2e-139,97,394
ABG96437.1,CBMO010000128.1_63,75.86,8e-166,98,464
ABG96438.1,CBMO010000128.1_62,72.18,2e-128,96,366
ABG96439.1,CBMO010000128.1_61,65.49,4e-114,98,330
ABG96440.1,CBMO010000128.1_60,70.96,7e-146,99,414
ABG96441.1,CBMO010000122.1_26,71.17,8e-148,93,419
ABG96442.1,CBMO010000010.1_22,65.93,0.0,98,538
ABG96465.1,CBMO010000101.1_2,66.26,0.0,87,564
ABG96467.1,CBMO010000128.1_8,53.85,1e-49,95,156
ABG96468.1,CBMO010000128.1_7,73.78,2e-166,99,466
ABG96469.1,CBMO010000128.1_6,80.98,0.0,99,638
