CCP46231.1,AFHJ01000002.1_2304,59.72,0.0,98,626
CCP46321.1,AFHJ01000001.1_229,29.53,3e-36,82,136
CCP46323.1,AFHJ01000001.1_231,51.05,2e-84,94,255
CCP46338.1,AFHJ01000001.1_1137,36.43,1e-44,100,152
CCP46340.1,AFHJ01000001.1_1418,33.55,8e-40,77,145
CCP46342.1,AFHJ01000002.1_3855,42.86,8e-77,95,241
CCP46347.1,AFHJ01000002.1_4184,47.53,1e-42,93,140
CCP46352.1,AFHJ01000002.1_2500,47.86,4e-76,99,233
CCP46360.1,AFHJ01000002.1_3190,43.18,1e-47,92,161
CCP46376.1,AFHJ01000002.1_4379,43.5,9e-86,51,275
CCP46383.1,AFHJ01000002.1_3823,33.59,3e-66,96,224
CCP46388.1,AFHJ01000002.1_1895,40.16,8e-37,88,132
CCP46393.1,AFHJ01000002.1_2487,30.32,1e-41,94,150
