ABG94283.1,EID11738.1,48.98,5e-73,97,224
ABG94286.1,EID13268.1,54.38,2e-92,99,276
ABG94288.1,EID11591.1,45.68,1e-167,99,490
ABG94290.1,EID15422.1,48.77,2e-65,83,203
ABG94291.1,EID15445.1,53.49,9e-98,94,292
ABG94292.1,EID15446.1,67.36,8e-112,91,325
ABG94293.1,EID15447.1,74.25,3e-169,99,473
ABG94294.1,EID15448.1,72.52,0.0,100,608
ABG94295.1,EID08908.1,30.38,3e-34,83,129
ABG94297.1,EID10687.1,33.0,5e-66,86,226
ABG96274.1,EID09712.1,35.23,5e-57,92,192
ABG96324.1,EID09863.1,61.94,9e-177,93,500
ABG96327.1,EID13705.1,81.94,0.0,99,513
ABG96377.1,EID09241.1,40.62,4e-70,97,226
ABG96380.1,EID11568.1,49.81,4e-80,90,244
ABG96381.1,EID10427.1,45.09,3e-148,99,436
ABG96382.1,EID11777.1,48.48,4e-126,91,372
ABG96440.1,EID17458.1,50.52,4e-75,94,233
ABG96442.1,EID09465.1,67.65,0.0,97,543
ABG96465.1,EID12363.1,60.65,0.0,85,520
ABG96467.1,EID13636.1,55.15,8e-49,99,154
ABG96468.1,EID13635.1,76.57,3e-168,99,470
ABG96475.1,EID15261.1,41.73,5e-131,93,395
ABG96476.1,EID09864.1,74.93,0.0,100,554
ABG96479.1,EID12878.1,32.91,5e-56,99,189
ABG96482.1,EID11320.1,73.31,1e-126,98,362
ABG96483.1,EID11319.1,69.93,1e-124,98,358
ABG96484.1,EID18283.1,48.94,8e-99,83,300
ABG96485.1,EID12073.1,46.52,6e-92,93,279
ABG96486.1,EID18285.1,41.21,5e-86,99,265
ABG96487.1,EID10440.1,46.25,5e-111,89,337
ABG96488.1,EID12070.1,44.81,5e-104,96,315
ABG96489.1,EID10438.1,50.77,9e-128,83,384
ABG97570.1,EID11056.1,48.1,5e-41,99,135
ABG97571.1,EID13239.1,56.34,2e-95,95,285
ABG97572.1,EID10393.1,43.95,2e-55,83,181
ABG97574.1,EID15451.1,69.78,5e-144,96,408
ABG97587.1,EID11057.1,62.07,2e-108,99,316
ABG97588.1,EID15424.1,65.57,0.0,91,530
ABG97589.1,EID10394.1,36.46,4e-69,99,223
ABG97590.1,EID15444.1,47.08,2e-124,95,375
ABG97593.1,EID13262.1,39.27,1e-127,99,398
ABG97599.1,EID09862.1,67.4,0.0,98,737
ABG97600.1,EID08894.1,54.12,8e-99,94,293
ABG97602.1,EID14805.1,36.84,2e-57,96,192
ABH00067.1,EID15423.1,65.66,0.0,98,725
ABH00070.1,EID15430.1,44.81,2e-62,90,202
ABH00072.1,EID11770.1,44.15,8e-90,81,278
ABH00079.1,EID15450.1,62.69,0.0,96,698
CCP43859.1,EID17244.1,74.65,0.0,97,565
CCP46231.1,EID17837.1,83.22,0.0,100,991
CCP46314.1,EID09845.1,63.45,1e-67,91,204
CCP46315.1,EID09846.1,69.13,1e-69,61,214
CCP46316.1,EID09847.1,67.71,0.0,78,620
CCP46317.1,EID09848.1,63.93,5e-173,98,489
CCP46318.1,EID09849.1,63.68,0.0,89,535
CCP46319.1,EID09850.1,66.76,7e-172,96,484
CCP46320.1,EID09851.1,70.62,6e-158,96,448
CCP46321.1,EID09852.1,65.0,0.0,100,545
CCP46322.1,EID09853.1,88.57,8e-180,100,498
CCP46323.1,EID09854.1,91.63,3e-162,99,451
CCP46324.1,EID09855.1,75.08,2e-162,96,457
CCP46326.1,EID09857.1,83.25,0.0,100,653
