ABG94291.1,AGF67329.1,42.22,3e-34,70,127
ABG96268.1,AGF63241.1,45.81,6e-46,83,152
ABG96384.1,AGF62929.1,55.5,6e-71,94,216
ABG96385.1,AGF62928.1,57.7,3e-139,100,402
ABG96440.1,AGF60451.1,45.02,8e-51,86,171
ABG96442.1,AGF63240.1,59.18,3e-154,98,447
ABG96465.1,AGF63258.1,54.33,2e-36,27,130
ABG96476.1,AGF61649.1,52.81,2e-57,48,188
ABG97564.1,AGF68257.1,35.8,2e-54,97,188
ABG97584.1,AGF64089.1,43.28,5e-75,81,241
ABG97585.1,AGF59923.1,46.86,7e-57,87,184
ABG97586.1,AGF60455.1,36.4,3e-34,99,124
ABG97589.1,AGF59896.1,31.41,1e-53,98,183
ABG97594.1,AGF63224.1,52.94,3e-90,99,272
ABH00056.1,AGF63416.1,50.99,4e-50,83,161
ACY32017.1,AGF67587.1,41.21,4e-33,67,120
ACY32073.1,AGF65772.1,39.76,8e-52,97,170
ACY32102.1,AGF66752.1,27.38,4e-37,98,139
CCP46337.1,AGF61645.1,58.55,9e-54,28,180
