ABG96268.1,ARCK01000048.1_29,45.66,1e-41,80,353
ABG96385.1,ARCK01000047.1_12,70.23,0.0,100,1445
ABG96442.1,ARCK01000048.1_28,58.11,2e-149,98,1115
ABG97564.1,ARCK01000056.1_20,37.42,2e-55,93,468
ABG97585.1,ARCK01000001.1_68,36.71,3e-33,87,305
ABG97594.1,ARCK01000048.1_21,55.36,8e-87,99,670
ACY32031.1,ARCK01000019.1_81,35.97,8e-56,89,493
ACY32065.1,ARCK01000030.1_55,37.5,2e-33,84,297
ACY32073.1,ARCK01000013.1_98,41.57,8e-60,100,484
ACY32075.1,ARCK01000002.1_188,35.02,1e-43,94,377
CCP46388.1,ARCK01000003.1_172,33.97,1e-34,91,318
