ACY32014.1,BAEC01000073.1_116,75.19,5e-60,79,467
ACY32015.1,BAEC01000073.1_115,94.52,0.0,100,1880
ACY32016.1,BAEC01000073.1_114,87.35,0.0,100,2253
ACY32017.1,BAEC01000073.1_113,96.71,9e-172,100,1222
ACY32018.1,BAEC01000073.1_112,94.9,9e-160,100,1145
ACY32019.1,BAEC01000073.1_111,95.73,7e-155,100,1104
ACY32020.1,BAEC01000073.1_110,93.87,0.0,99,1728
ACY32021.1,BAEC01000073.1_109,94.72,0.0,100,1471
ACY32022.1,BAEC01000073.1_108,98.29,0.0,100,1530
ACY32023.1,BAEC01000073.1_107,96.86,0.0,99,1318
ACY32024.1,BAEC01000073.1_106,95.67,0.0,100,1554
ACY32025.1,BAEC01000073.1_105,97.24,0.0,100,1855
ACY32026.1,BAEC01000073.1_104,95.24,1e-178,100,1270
ACY32027.1,BAEC01000073.1_103,96.61,0.0,100,1993
ACY32028.1,BAEC01000073.1_102,93.67,0.0,100,1885
ACY32029.1,BAEC01000073.1_101,95.83,0.0,100,1957
ACY32031.1,BAEC01000073.1_100,96.92,0.0,98,2696
ACY32032.1,BAEC01000073.1_99,98.28,0.0,100,1502
ACY32033.1,BAEC01000073.1_98,91.82,0.0,96,1785
ACY32034.1,BAEC01000073.1_97,94.13,0.0,100,1946
ACY32035.1,BAEC01000073.1_96,96.55,0.0,100,1326
ACY32036.1,BAEC01000073.1_95,92.59,3e-109,100,793
ACY32037.1,BAEC01000073.1_94,96.75,0.0,95,2049
ACY32038.1,BAEC01000073.1_93,99.04,0.0,100,2207
ACY32039.1,BAEC01000073.1_77,93.19,0.0,100,2560
ACY32039.1,BAEC01000025.1_4,68.0,7e-89,39,697
ACY32039.1,BAEC01000025.1_5,72.0,3e-56,24,468
ACY32040.1,BAEC01000073.1_76,91.51,0.0,100,1849
ACY32041.1,BAEC01000073.1_75,93.12,5e-161,100,1152
ACY32042.1,BAEC01000073.1_74,95.23,0.0,100,1830
ACY32043.1,BAEC01000073.1_73,95.27,0.0,100,3585
ACY32044.1,BAEC01000073.1_72,89.82,0.0,99,2700
ACY32045.1,BAEC01000073.1_71,90.59,0.0,100,3807
ACY32046.1,BAEC01000073.1_70,84.96,0.0,100,1947
ACY32046.1,BAEC01000073.1_67,54.05,2e-163,97,1210
ACY32047.1,BAEC01000073.1_69,94.45,0.0,100,2567
ACY32048.1,BAEC01000073.1_68,85.37,2e-76,93,572
ACY32049.1,BAEC01000073.1_66,88.01,0.0,99,2628
ACY32050.1,BAEC01000073.1_65,91.69,0.0,89,1606
ACY32051.1,BAEC01000073.1_64,88.7,9e-155,98,1110
ACY32052.1,BAEC01000073.1_63,98.37,0.0,100,1977
ACY32053.1,BAEC01000073.1_62,89.45,0.0,99,1324
ACY32054.1,BAEC01000073.1_61,95.72,0.0,100,2195
ACY32055.1,BAEC01000073.1_60,93.46,0.0,100,2371
ACY32056.1,BAEC01000073.1_59,92.19,3e-165,100,1182
ACY32057.1,BAEC01000073.1_58,90.91,0.0,99,1415
ACY32058.1,BAEC01000073.1_57,84.91,6e-127,98,920
ACY32059.1,BAEC01000073.1_56,91.97,0.0,100,1443
ACY32060.1,BAEC01000073.1_55,94.7,1e-89,99,659
ACY32061.1,BAEC01000073.1_54,86.05,3e-47,100,368
ACY32063.1,BAEC01000073.1_53,93.87,3e-102,100,747
ACY32064.1,BAEC01000025.1_45,81.76,7e-91,94,670
ACY32065.1,BAEC01000043.1_85,82.89,2e-117,96,853
ACY32066.1,BAEC01000073.1_51,88.84,0.0,100,3379
ACY32067.1,BAEC01000073.1_50,96.57,0.0,100,3457
ACY32068.1,BAEC01000073.1_49,91.83,3e-173,100,1234
ACY32069.1,BAEC01000073.1_48,94.96,4e-77,100,572
ACY32071.1,BAEC01000073.1_47,95.12,8e-53,56,411
ACY32072.1,BAEC01000073.1_45,93.4,0.0,100,1504
ACY32072.1,BAEC01000025.1_80,37.76,3e-56,96,468
ACY32073.1,BAEC01000073.1_44,93.73,5e-174,100,1239
ACY32074.1,BAEC01000073.1_43,90.98,2e-87,100,644
ACY32075.1,BAEC01000073.1_42,92.59,0.0,100,1305
ACY32076.1,BAEC01000073.1_41,94.3,3e-174,99,1242
ACY32077.1,BAEC01000073.1_40,93.31,0.0,100,1590
ACY32078.1,BAEC01000073.1_39,95.91,0.0,100,1790
ACY32079.1,BAEC01000073.1_38,98.55,8e-99,100,719
ACY32080.1,BAEC01000073.1_37,98.21,0.0,99,2063
ACY32081.1,BAEC01000073.1_36,97.71,0.0,100,2035
ACY32082.1,BAEC01000073.1_35,94.53,0.0,100,3077
ACY32083.1,BAEC01000073.1_34,92.68,0.0,100,1737
ACY32084.1,BAEC01000073.1_33,93.97,0.0,100,2011
ACY32085.1,BAEC01000073.1_32,87.2,0.0,100,1695
ACY32086.1,BAEC01000073.1_31,93.31,0.0,100,2801
ACY32087.1,BAEC01000073.1_30,96.51,0.0,100,2409
ACY32088.1,BAEC01000073.1_29,99.2,0.0,100,2614
ACY32089.1,BAEC01000073.1_28,98.02,0.0,100,1833
ACY32090.1,BAEC01000073.1_27,88.08,9e-99,99,722
ACY32091.1,BAEC01000073.1_26,96.25,0.0,100,4229
ACY32092.1,BAEC01000073.1_25,91.02,0.0,99,1549
ACY32093.1,BAEC01000073.1_24,99.26,0.0,100,2145
ACY32094.1,BAEC01000073.1_23,94.57,2e-180,100,1287
ACY32095.1,BAEC01000073.1_22,86.96,6e-37,100,301
ACY32096.1,BAEC01000073.1_20,84.87,1e-85,22,693
ACY32096.1,BAEC01000073.1_21,88.55,2e-71,19,583
ACY32096.1,BAEC01000145.1_10,29.67,5e-63,92,566
ACY32097.1,BAEC01000073.1_19,97.08,0.0,99,1757
ACY32098.1,BAEC01000073.1_18,97.06,0.0,99,1559
ACY32099.1,BAEC01000073.1_17,91.84,1e-167,90,1201
ACY32100.1,BAEC01000073.1_16,97.85,0.0,100,1474
ACY32101.1,BAEC01000073.1_15,94.77,0.0,100,1636
ACY32102.1,BAEC01000073.1_14,93.47,0.0,100,1996
ACY32103.1,BAEC01000073.1_13,93.58,0.0,100,2911
ACY32104.1,BAEC01000073.1_12,92.04,0.0,100,2714
ACY32105.1,BAEC01000073.1_11,94.56,0.0,98,1735
ACY32106.1,BAEC01000073.1_10,93.89,0.0,100,2670
ABG97594.1,BAEC01000094.1_2,38.69,2e-47,99,406
