ABG94284.1,EIV29664.1,47.71,4e-46,93,149
ABG94285.1,EIV42195.1,69.2,4e-140,100,397
ABG94286.1,EIV42196.1,62.64,5e-110,99,320
ABG94288.1,EIV39127.1,45.02,3e-149,98,442
ABG94290.1,EIV42205.1,55.44,4e-63,79,197
ABG94291.1,EIV42201.1,55.33,9e-95,95,284
ABG94292.1,EIV42200.1,63.97,1e-107,94,314
ABG94293.1,EIV42199.1,79.19,5e-177,99,493
ABG94294.1,EIV42198.1,77.35,0.0,100,652
ABG94295.1,EIV23684.1,59.18,2e-170,92,484
ABG94297.1,EIV42197.1,66.35,0.0,96,745
ABG96268.1,EIV39084.1,68.0,2e-92,93,271
ABG96269.1,EIV39085.1,53.63,0.0,99,701
ABG96270.1,EIV39119.1,52.0,2e-115,99,340
ABG96271.1,EIV39120.1,69.59,0.0,100,565
ABG96272.1,EIV39121.1,62.26,9e-141,95,403
ABG96273.1,EIV39122.1,72.36,3e-54,88,167
ABG96274.1,EIV39123.1,76.74,0.0,99,570
ABG96317.1,EIV39126.1,68.31,1e-128,99,369
ABG96318.1,EIV39127.1,68.34,0.0,97,737
ABG96319.1,EIV39129.1,73.56,1e-138,100,392
ABG96320.1,EIV39130.1,88.93,0.0,99,543
ABG96321.1,EIV39131.1,85.12,0.0,99,572
ABG96324.1,EIV23684.1,64.96,0.0,95,569
ABG96325.1,EIV39089.1,77.6,0.0,100,628
ABG96326.1,EIV23881.1,44.74,4e-64,88,204
ABG96327.1,EIV39090.1,73.74,8e-170,99,474
ABG96328.1,EIV39091.1,73.94,1e-92,93,270
ABG96377.1,EIV39098.1,47.11,1e-87,99,268
ABG96378.1,EIV39099.1,55.45,2e-98,99,294
ABG96379.1,EIV39100.1,68.93,0.0,99,538
ABG96381.1,EIV39101.1,57.23,0.0,98,562
ABG96382.1,EIV39102.1,70.63,0.0,93,570
ABG96383.1,EIV39103.1,75.1,3e-139,98,394
ABG96384.1,EIV39104.1,61.58,3e-82,93,244
ABG96385.1,EIV39105.1,72.25,0.0,100,582
ABG96435.1,EIV39108.1,75.71,1e-173,98,488
ABG96436.1,EIV39109.1,76.21,3e-144,98,406
ABG96437.1,EIV39110.1,82.13,0.0,98,504
ABG96438.1,EIV39111.1,74.8,6e-139,97,392
ABG96439.1,EIV39112.1,69.88,2e-124,99,356
ABG96440.1,EIV39113.1,78.36,2e-169,100,474
ABG96441.1,EIV26468.1,67.62,4e-142,93,403
ABG96465.1,EIV39118.1,69.86,0.0,88,611
ABG96467.1,EIV23681.1,48.06,7e-41,94,133
ABG96468.1,EIV29441.1,43.45,4e-67,99,211
ABG96469.1,EIV23680.1,77.06,0.0,99,632
ABG96470.1,EIV23679.1,71.07,3e-177,99,498
ABG96471.1,EIV23678.1,63.46,4e-136,93,390
ABG96472.1,EIV23677.1,73.9,0.0,99,532
ABG96474.1,EIV23675.1,77.99,1e-148,95,418
ABG96475.1,EIV23674.1,65.0,0.0,98,747
ABG96476.1,EIV23673.1,74.12,0.0,100,553
ABG96477.1,EIV23671.1,58.81,0.0,99,572
ABG96478.1,EIV23670.1,59.79,4e-140,100,404
ABG96479.1,EIV23669.1,79.39,0.0,100,645
ABG96481.1,EIV23667.1,65.35,3e-137,99,392
ABG96482.1,EIV23666.1,72.8,3e-129,98,368
ABG96483.1,EIV23665.1,72.24,4e-124,93,356
ABG96484.1,EIV23664.1,44.2,4e-101,91,306
ABG96485.1,EIV23663.1,48.82,2e-110,99,326
ABG96486.1,EIV23662.1,44.64,5e-93,96,283
ABG96487.1,EIV23661.1,47.19,2e-121,91,363
ABG96488.1,EIV23660.1,43.01,2e-95,87,292
ABG96489.1,EIV23659.1,44.29,7e-141,99,416
ABG96492.1,EIV35985.1,46.42,1e-71,95,222
ABG96493.1,EIV39221.1,58.28,3e-132,96,382
ABG97566.1,EIV35814.1,62.91,1e-125,99,360
ABG97568.1,EIV23667.1,56.6,2e-105,92,311
ABG97572.1,EIV42200.1,44.65,2e-50,72,168
ABG97574.1,EIV24393.1,64.66,1e-137,96,392
ABG97575.1,EIV39127.1,46.58,7e-153,92,452
ABG97576.1,EIV39129.1,59.39,5e-105,100,306
ABG97577.1,EIV39130.1,74.25,4e-163,99,457
