ACY32015.1,ERB50718.1,40.96,3e-79,95,248
ACY32015.1,ERB50999.1,30.35,2e-34,93,129
ACY32016.1,ERB54254.1,47.14,9e-147,99,430
ACY32016.1,ERB50721.1,47.08,1e-139,97,412
ACY32017.1,ERB50379.1,43.33,1e-47,98,158
ACY32017.1,ERB52496.1,36.29,2e-43,99,147
ACY32017.1,ERB53987.1,36.57,1e-41,98,143
ACY32017.1,ERB55141.1,41.45,5e-41,78,140
ACY32017.1,ERB49838.1,35.54,1e-36,98,130
ACY32017.1,ERB50642.1,35.44,2e-36,96,129
ACY32017.1,ERB50438.1,35.19,6e-36,98,128
ACY32017.1,ERB55038.1,34.23,6e-35,99,127
ACY32017.1,ERB54362.1,35.36,2e-34,98,124
ACY32017.1,ERB52817.1,35.27,1e-33,98,122
ACY32018.1,ERB50829.1,39.23,1e-42,95,146
ACY32021.1,ERB54376.1,40.14,3e-59,99,192
ACY32021.1,ERB55613.1,37.82,4e-54,95,178
ACY32021.1,ERB55156.1,38.49,6e-48,82,160
ACY32022.1,ERB54902.1,41.7,1e-70,95,229
ACY32023.1,ERB54901.1,38.54,2e-40,80,139
ACY32025.1,ERB54900.1,46.72,8e-84,97,259
ACY32028.1,ERB54871.1,34.48,1e-49,84,169
ACY32028.1,ERB50074.1,30.08,8e-36,89,133
ACY32029.1,ERB54876.1,63.09,3e-176,99,498
ACY32029.1,ERB53903.1,46.56,4e-116,99,345
ACY32029.1,ERB50226.1,46.4,3e-111,99,332
ACY32029.1,ERB50362.1,45.91,5e-101,98,305
ACY32029.1,ERB50781.1,42.68,2e-96,99,294
ACY32029.1,ERB54907.1,40.86,7e-87,99,270
ACY32029.1,ERB55366.1,39.58,3e-75,98,239
ACY32031.1,ERB50689.1,40.38,9e-107,89,329
ACY32031.1,ERB50005.1,37.99,6e-66,89,222
ACY32031.1,ERB49868.1,32.6,6e-35,76,134
ACY32031.1,ERB51979.1,39.85,2e-33,51,127
ACY32031.1,ERB49664.1,28.57,9e-33,89,127
ACY32031.1,ERB49772.1,28.57,9e-33,89,127
ACY32032.1,ERB54903.1,53.49,6e-106,99,312
ACY32032.1,ERB54940.1,43.01,6e-69,97,217
ACY32032.1,ERB55843.1,42.51,2e-67,93,213
ACY32032.1,ERB50340.1,41.4,2e-55,97,182
ACY32033.1,ERB55844.1,35.26,2e-43,94,157
ACY32034.1,ERB54873.1,52.12,1e-137,98,401
ACY32035.1,ERB54874.1,61.98,6e-109,100,317
ACY32035.1,ERB54869.1,36.8,7e-31,93,115
ACY32036.1,ERB50353.1,45.45,9e-40,82,132
ACY32037.1,ERB50072.1,60.06,1e-141,83,410
ACY32040.1,ERB54266.1,45.51,6e-103,94,310
ACY32042.1,ERB55345.1,55.03,2e-142,100,412
ACY32042.1,ERB51373.1,43.09,5e-98,99,298
ACY32043.1,ERB55346.1,45.54,0.0,97,563
ACY32044.1,ERB53910.1,30.64,8e-69,95,231
ACY32045.1,ERB50780.1,32.58,2e-95,99,315
