ABG96268.1,EME97156.1,46.7,2e-44,84,373
ABG96325.1,EME98717.1,33.95,1e-65,98,547
ABG96328.1,EMF01287.1,41.32,6e-36,85,312
ABG96441.1,EME97467.1,45.23,8e-71,90,565
ABG96442.1,EME97157.1,57.7,1e-149,98,1116
ABG97564.1,EMF02129.1,36.75,1e-41,90,372
ABG97581.1,EME98026.1,40.36,4e-49,84,431
ABG97584.1,EME99178.1,41.37,4e-68,81,567
ABG97586.1,EME97924.1,54.14,7e-70,100,553
ABG97594.1,EME97714.1,50.52,4e-75,99,593
ACY32017.1,EME99535.1,36.48,4e-36,97,324
ACY32049.1,EME97795.1,42.25,4e-145,98,1113
ACY32073.1,EMF02612.1,38.78,5e-47,100,398
CCP46231.1,EME99508.1,59.1,0.0,98,1603
CCP46387.1,EMF01228.1,30.56,5e-31,74,300
CCP46388.1,EMF00140.1,39.15,8e-41,89,360
