ABG94284.1,EMT37658.1,54.3,3e-48,92,154
ABG94288.1,EMT34047.1,46.95,6e-164,98,479
ABG94293.1,EMT34080.1,46.78,8e-93,96,278
ABG94294.1,EMT34082.1,42.67,7e-101,98,305
ABG94295.1,EMT34035.1,60.37,2e-173,94,491
ABG96268.1,EMT34086.1,71.13,1e-97,91,283
ABG96269.1,EMT34085.1,56.89,0.0,99,679
ABG96270.1,EMT34054.1,49.57,4e-109,99,323
ABG96271.1,EMT34053.1,74.23,0.0,100,592
ABG96272.1,EMT34052.1,63.27,5e-145,96,413
ABG96273.1,EMT34051.1,73.17,2e-63,88,191
ABG96274.1,EMT34050.1,78.12,0.0,99,627
ABG96317.1,EMT34048.1,62.54,5e-121,98,349
ABG96318.1,EMT34047.1,67.26,0.0,97,778
ABG96319.1,EMT34046.1,71.26,6e-131,100,372
ABG96320.1,EMT34045.1,86.2,0.0,99,528
ABG96321.1,EMT34044.1,84.57,0.0,99,581
ABG96324.1,EMT34035.1,67.9,0.0,92,550
ABG96325.1,EMT34082.1,78.89,0.0,99,633
ABG96326.1,EMT34081.1,76.12,9e-158,98,443
ABG96327.1,EMT34080.1,81.61,0.0,99,513
ABG96328.1,EMT34079.1,75.41,4e-100,93,288
ABG96377.1,EMT34074.1,43.15,1e-72,97,229
ABG96378.1,EMT34073.1,55.83,1e-98,99,295
ABG96379.1,EMT34072.1,66.06,0.0,99,510
ABG96380.1,EMT35824.1,42.86,3e-67,90,213
ABG96381.1,EMT34071.1,59.45,0.0,99,558
ABG96382.1,EMT34070.1,68.37,0.0,92,541
ABG96383.1,EMT34069.1,73.36,1e-136,97,387
ABG96384.1,EMT34067.1,57.22,6e-79,95,235
ABG96385.1,EMT34066.1,73.58,0.0,100,587
ABG96435.1,EMT34063.1,72.36,3e-174,99,490
ABG96436.1,EMT34062.1,69.51,1e-125,96,358
ABG96437.1,EMT34061.1,77.27,4e-167,97,467
ABG96438.1,EMT34060.1,74.29,5e-131,95,372
ABG96439.1,EMT34059.1,65.1,6e-105,98,306
ABG96440.1,EMT34058.1,70.59,1e-149,99,424
ABG96441.1,EMT36856.1,71.58,2e-145,92,412
