ABG94288.1,EID09902.1,46.27,8e-162,96,1221
ABG94290.1,EID09109.1,46.19,1e-66,90,525
ABG94292.1,EID09112.1,64.04,1e-98,87,743
ABG94293.1,EID09114.1,73.91,5e-159,99,1149
ABG94294.1,EID09115.1,75.63,0.0,100,1627
ABG94295.1,EID13473.1,29.83,1e-34,86,326
ABG94297.1,EID12569.1,31.85,3e-63,82,554
ABG96274.1,EID11487.1,65.03,5e-163,99,1194
ABG96377.1,EID09961.1,32.11,5e-33,99,310
ABG96380.1,EID13456.1,31.25,8e-33,82,303
ABG96381.1,EID10001.1,48.71,5e-160,98,1196
ABG96442.1,EID13209.1,65.72,0.0,100,1411
ABG96465.1,EID09131.1,64.72,0.0,87,1492
ABG96467.1,EID09071.1,54.55,1e-52,96,412
ABG96468.1,EID09072.1,74.48,2e-164,99,1184
ABG96476.1,EID09081.1,71.16,0.0,100,1336
ABG96478.1,EID11485.1,42.82,3e-88,99,695
ABG96479.1,EID11482.1,53.92,5e-139,100,1037
ABG96483.1,EID09971.1,76.79,2e-112,79,832
ABG96484.1,EID09972.1,48.88,1e-104,91,808
ABG96485.1,EID09973.1,48.92,2e-91,96,710
ABG96486.1,EID09974.1,40.75,6e-77,91,616
ABG96487.1,EID09975.1,47.76,1e-104,85,817
ABG96488.1,EID09976.1,45.21,1e-86,75,686
ABG96489.1,EID09977.1,45.81,1e-120,86,939
ABG97567.1,EID15803.1,38.68,3e-45,98,384
ABG97570.1,EID15804.1,48.05,2e-43,96,356
ABG97574.1,EID09118.1,71.43,3e-154,99,1116
ABG97583.1,EID12599.1,51.58,1e-81,100,632
ABG97586.1,EID13472.1,39.78,3e-37,98,331
ABG97587.1,EID15805.1,63.92,2e-102,97,770
ABG97600.1,EID16530.1,51.44,3e-84,94,654
ABG97602.1,EID13431.1,32.74,5e-49,95,430
ABG97603.1,EID11483.1,49.67,9e-41,48,353
ABH00046.1,EID09883.1,36.78,3e-65,96,535
ACY32031.1,EID09763.1,41.82,6e-95,90,761
ACY32049.1,EID11307.1,43.15,3e-147,98,1127
ACY32066.1,EID09128.1,35.53,3e-123,99,985
ACY32077.1,EID11484.1,54.62,1e-47,40,396
ACY32079.1,EID11486.1,45.19,1e-41,96,341
ACY32080.1,EID11291.1,32.0,2e-46,97,412
CCP43859.1,EID14595.1,78.11,0.0,100,1595
CCP46231.1,EID17040.1,86.85,0.0,100,2687
CCP46314.1,EID09101.1,76.25,2e-78,100,588
CCP46315.1,EID09100.1,82.43,6e-88,61,667
CCP46316.1,EID09099.1,78.24,0.0,77,1747
CCP46317.1,EID09098.1,77.37,0.0,99,1568
CCP46318.1,EID09097.1,78.55,0.0,89,1672
CCP46319.1,EID09096.1,78.81,0.0,94,1354
CCP46320.1,EID09095.1,76.68,0.0,98,1307
CCP46321.1,EID09094.1,78.17,0.0,99,1620
CCP46322.1,EID09093.1,86.43,8e-175,100,1249
CCP46323.1,EID09092.1,88.98,6e-161,100,1152
CCP46324.1,EID09091.1,81.91,5e-168,96,1211
CCP46325.1,EID09090.1,90.16,3e-34,97,277
CCP46326.1,EID09089.1,88.25,0.0,100,1822
CCP46327.1,EID09088.1,79.84,0.0,99,1439
CCP46328.1,EID09087.1,79.68,0.0,100,2119
CCP46331.1,EID09083.1,78.64,0.0,100,1997
CCP46332.1,EID09082.1,83.21,1e-170,98,1221
CCP46337.1,EID09080.1,87.08,0.0,99,2528
CCP46338.1,EID09079.1,89.19,5e-173,98,1234
CCP46340.1,EID09078.1,81.77,0.0,99,1684
CCP46341.1,EID09077.1,70.29,9e-119,100,871
CCP46342.1,EID09076.1,90.38,0.0,99,1658
CCP46343.1,EID09075.1,75.58,3e-172,100,1240
CCP46344.1,EID09074.1,84.18,0.0,100,1586
CCP46345.1,EID09073.1,91.77,0.0,99,1900
CCP46348.1,EID09070.1,82.98,0.0,97,1696
CCP46349.1,EID09069.1,58.45,6e-55,95,431
CCP46351.1,EID09068.1,83.86,0.0,98,1733
CCP46352.1,EID09067.1,84.17,6e-164,99,1174
CCP46353.1,EID09066.1,87.43,0.0,99,1774
CCP46354.1,EID16969.1,43.88,4e-39,48,359
CCP46356.1,EID09064.1,93.37,0.0,100,1687
CCP46357.1,EID09063.1,91.45,0.0,100,1456
CCP46358.1,EID09062.1,80.08,1e-147,100,1066
CCP46359.1,EID09061.1,81.9,0.0,99,2388
CCP46360.1,EID09060.1,72.32,6e-142,100,1034
CCP46362.1,EID09059.1,92.23,0.0,100,1847
CCP46363.1,EID09058.1,84.55,3e-73,95,549
CCP46364.1,EID09057.1,82.33,0.0,99,1363
CCP46365.1,EID09056.1,83.98,0.0,100,1758
CCP46366.1,EID09055.1,81.02,0.0,98,1392
CCP46367.1,EID09054.1,85.13,0.0,96,1850
CCP46368.1,EID09053.1,85.42,0.0,100,1751
CCP46369.1,EID09051.1,83.89,7e-87,99,642
CCP46370.1,EID09050.1,83.55,1e-178,100,1279
CCP46371.1,EID09049.1,83.78,2e-154,100,1111
CCP46372.1,EID09048.1,93.12,2e-168,100,1200
CCP46373.1,EID09047.1,86.6,0.0,99,1338
CCP46374.1,EID09046.1,83.13,3e-154,99,1107
CCP46375.1,EID09045.1,89.3,0.0,100,1566
CCP46377.1,EID15119.1,56.79,7e-97,97,735
CCP46378.1,EID09043.1,83.16,0.0,100,1713
CCP46379.1,EID09042.1,86.63,2e-121,94,880
CCP46381.1,EID09041.1,89.69,1e-173,100,1238
CCP46382.1,EID09040.1,86.75,0.0,100,1775
CCP46383.1,EID12340.1,77.08,0.0,99,1961
CCP46384.1,EID12339.1,85.68,0.0,100,1693
CCP46385.1,EID12338.1,74.92,1e-136,99,1005
CCP46386.1,EID12337.1,74.45,4e-162,99,1174
CCP46387.1,EID12336.1,84.94,0.0,99,1637
CCP46390.1,EID12334.1,85.48,2e-119,99,865
CCP46391.1,EID12333.1,90.64,0.0,99,1460
CCP46392.1,EID12332.1,88.24,0.0,99,1368
CCP46393.1,EID12331.1,88.83,0.0,100,1890
CCP46394.1,EID12330.1,84.08,0.0,100,1560
CCP46395.1,EID12329.1,77.71,1e-88,89,660
CCP46396.1,EID12328.1,78.06,0.0,100,2632
CCP46397.1,EID12327.1,93.37,2e-133,98,959
