ABG94283.1,EFI59966.1,37.89,2e-39,98,137
ABG94288.1,EFI58784.1,39.57,5e-117,97,359
ABG94293.1,EFI58867.1,39.44,1e-60,93,195
ABG94294.1,EFI58785.1,35.87,1e-77,93,246
ABG94295.1,EFI58835.1,30.95,8e-48,80,166
ABG96269.1,EFI58843.1,32.08,4e-90,99,300
ABG96272.1,EFI58810.1,36.03,4e-50,86,169
ABG96274.1,EFI58807.1,62.24,1e-174,99,494
ABG96317.1,EFI59184.1,36.79,1e-42,90,148
ABG96318.1,EFI58784.1,40.03,2e-125,99,382
ABG96320.1,EFI61197.1,57.81,3e-122,99,354
ABG96324.1,EFI58835.1,29.72,2e-47,84,166
ABG96325.1,EFI58785.1,36.58,6e-84,97,262
ABG96326.1,EFI59040.1,37.93,5e-59,96,191
ABG96327.1,EFI58867.1,44.91,8e-74,94,229
ABG96377.1,EFI58855.1,33.24,8e-42,92,149
ABG96378.1,EFI58860.1,35.17,8e-53,99,178
ABG96379.1,EFI58861.1,52.69,2e-142,99,412
ABG96380.1,EFI58864.1,65.59,1e-135,96,387
ABG96381.1,EFI58781.1,46.95,4e-155,99,455
ABG96382.1,EFI58854.1,56.09,8e-143,92,414
ABG96383.1,EFI58853.1,63.93,2e-93,82,276
ABG96385.1,EFI58859.1,64.3,4e-180,99,507
ABG96435.1,EFI58863.1,46.46,8e-97,99,293
ABG96436.1,EFI58865.1,37.02,8e-48,98,159
ABG96437.1,EFI58866.1,44.88,5e-76,96,235
ABG96438.1,EFI58862.1,44.4,2e-67,93,210
ABG96439.1,EFI58811.1,56.98,2e-88,99,264
ABG96440.1,EFI58856.1,53.16,1e-105,99,311
ABG96474.1,EFI60193.1,34.22,2e-32,94,119
ABG96476.1,EFI60222.1,37.84,8e-75,99,237
ABG96478.1,EFI58809.1,30.08,4e-38,99,139
ABG96479.1,EFI58806.1,48.87,6e-125,100,367
ABG97567.1,EFI59966.1,37.6,3e-44,98,150
ABG97574.1,EFI59040.1,37.87,8e-49,91,164
ABG97575.1,EFI58784.1,40.07,5e-120,95,368
ABG97577.1,EFI61197.1,58.22,8e-119,100,345
ABG97580.1,EFI58867.1,40.78,8e-66,92,209
ABG97588.1,EFI58835.1,30.03,1e-44,79,158
ABG97589.1,EFI58785.1,36.19,1e-84,95,263
ABG97593.1,EFI58843.1,33.37,3e-94,99,311
ABG97594.1,EFI59184.1,39.72,2e-45,93,155
ABG97602.1,EFI58806.1,46.46,2e-123,99,363
ABG97603.1,EFI58810.1,38.8,4e-70,91,221
ABG97604.1,EFI58809.1,33.88,2e-46,98,162
ABG97605.1,EFI58808.1,50.39,2e-38,89,127
ABG97606.1,EFI58807.1,61.24,1e-172,99,489
ABG97608.1,EFI58811.1,55.6,1e-77,97,237
ABH00046.1,EFI58782.1,41.32,5e-95,100,288
ABH00047.1,EFI58835.1,32.04,6e-49,82,169
ABH00048.1,EFI58785.1,32.88,3e-70,94,226
ABH00054.1,EFI60616.1,38.98,2e-45,74,156
ABH00058.1,EFI58709.1,28.97,4e-40,95,141
ABH00065.1,EFI58788.1,40.25,5e-58,89,187
ABH00070.1,EFI63606.1,35.79,3e-47,86,164
ABH00072.1,EFI62482.1,49.01,2e-120,85,356
ABH00074.1,EFI60801.1,47.18,5e-110,96,329
ABH00076.1,EFI58847.1,43.78,5e-48,98,159
ABH00080.1,EFI62852.1,39.2,1e-57,93,189
ABH00082.1,EFI62855.1,38.02,3e-48,89,162
ABH00083.1,EFI62853.1,31.4,4e-69,73,233
ABH00084.1,EFI58784.1,34.97,5e-94,97,300
ACY32014.1,EFI58875.1,92.81,7e-102,100,291
ACY32015.1,EFI58874.1,99.18,0.0,100,757
ACY32016.1,EFI58872.1,99.8,0.0,100,996
ACY32017.1,EFI58871.1,100.0,5e-177,100,488
ACY32018.1,EFI58870.1,99.22,0.0,100,503
ACY32019.1,EFI58869.1,98.1,1e-157,100,436
ACY32020.1,EFI58868.1,99.17,0.0,100,734
ACY32021.1,EFI58867.1,99.65,0.0,100,592
ACY32022.1,EFI58866.1,98.97,0.0,100,597
ACY32023.1,EFI58865.1,99.22,0.0,100,525
ACY32024.1,EFI58864.1,99.67,0.0,100,627
ACY32025.1,EFI58863.1,100.0,0.0,100,734
ACY32026.1,EFI58862.1,98.81,0.0,100,508
ACY32027.1,EFI58861.1,100.0,0.0,100,793
ACY32028.1,EFI58860.1,99.74,0.0,100,773
ACY32029.1,EFI58859.1,99.74,0.0,100,789
ACY32030.1,EFI58858.1,99.04,0.0,100,1052
ACY32031.1,EFI58857.1,98.49,0.0,100,1075
ACY32032.1,EFI58856.1,98.63,0.0,100,585
ACY32033.1,EFI58855.1,100.0,0.0,93,735
ACY32034.1,EFI58854.1,92.6,0.0,100,739
ACY32035.1,EFI58853.1,99.54,2e-159,83,443
ACY32036.1,EFI58852.1,99.38,3e-118,100,332
ACY32037.1,EFI58851.1,99.5,0.0,95,811
ACY32038.1,EFI58850.1,99.76,0.0,100,859
ACY32039.1,EFI58849.1,98.46,0.0,89,920
ACY32040.1,EFI58848.1,98.94,0.0,100,764
ACY32041.1,EFI58847.1,97.17,9e-176,100,485
ACY32042.1,EFI58846.1,99.47,0.0,100,763
ACY32043.1,EFI58845.1,97.1,0.0,100,1412
ACY32044.1,EFI58844.1,98.24,0.0,100,1141
ACY32045.1,EFI58843.1,97.51,0.0,100,1590
ACY32046.1,EFI58842.1,99.34,0.0,100,887
ACY32047.1,EFI58840.1,99.45,0.0,100,1102
ACY32048.1,EFI58839.1,97.73,7e-95,100,271
ACY32049.1,EFI58838.1,98.07,0.0,100,1150
ACY32050.1,EFI58837.1,97.86,0.0,94,805
ACY32051.1,EFI58836.1,97.11,2e-173,100,479
ACY32052.1,EFI58835.1,98.37,0.0,100,765
ACY32053.1,EFI58834.1,98.19,0.0,99,556
ACY32054.1,EFI58833.1,99.55,0.0,100,886
