ABG94283.1,EPQ72049.1,42.91,2e-52,97,171
ABG94284.1,EPQ72801.1,55.63,4e-51,92,161
ABG94285.1,EPQ73887.1,56.73,1e-102,99,302
ABG94288.1,EPQ73864.1,45.77,6e-151,95,447
ABG94291.1,EPQ79825.1,41.15,7e-51,79,171
ABG94293.1,EPQ71822.1,47.46,5e-92,96,276
ABG94294.1,EPQ71824.1,41.13,8e-96,98,293
ABG94297.1,EPQ72499.1,34.42,2e-70,86,237
ABG96268.1,EPQ71829.1,71.07,8e-98,92,285
ABG96269.1,EPQ71827.1,55.34,0.0,99,665
ABG96272.1,EPQ74412.1,49.58,3e-32,35,117
ABG96273.1,EPQ74411.1,42.75,3e-33,90,114
ABG96274.1,EPQ74410.1,64.94,1e-164,99,469
ABG96317.1,EPQ70355.1,40.15,7e-48,90,162
ABG96318.1,EPQ73864.1,43.93,2e-135,93,408
ABG96325.1,EPQ71824.1,81.0,0.0,99,648
ABG96326.1,EPQ71823.1,77.74,3e-163,98,457
ABG96327.1,EPQ71822.1,81.48,0.0,99,513
ABG96328.1,EPQ71821.1,74.47,2e-100,95,290
ABG96377.1,EPQ71811.1,43.57,1e-68,97,219
ABG96378.1,EPQ71810.1,58.62,9e-99,99,295
ABG96379.1,EPQ71809.1,63.99,3e-179,100,505
ABG96380.1,EPQ80530.1,44.57,4e-69,88,218
ABG96381.1,EPQ71808.1,58.17,0.0,99,562
ABG96382.1,EPQ71807.1,69.13,0.0,92,539
ABG96383.1,EPQ71806.1,75.93,3e-132,90,375
ABG96384.1,EPQ71804.1,56.67,7e-72,88,217
ABG96385.1,EPQ71803.1,74.35,0.0,100,589
ABG96435.1,EPQ71800.1,72.08,2e-170,99,480
ABG96436.1,EPQ71799.1,70.37,1e-132,96,376
ABG96437.1,EPQ71798.1,76.92,1e-165,97,463
ABG96438.1,EPQ71797.1,74.69,2e-133,95,378
ABG96440.1,EPQ72557.1,42.58,2e-47,84,162
ABG96441.1,EPQ74096.1,70.82,2e-141,93,402
ABG96442.1,EPQ80599.1,66.26,0.0,98,543
ABG96465.1,EPQ80436.1,66.35,0.0,90,578
ABG96468.1,EPQ74074.1,42.07,7e-63,99,201
ABG96475.1,EPQ74666.1,40.19,2e-125,95,380
ABG96476.1,EPQ79970.1,47.63,5e-106,99,318
ABG96477.1,EPQ71622.1,55.95,0.0,97,554
ABG96478.1,EPQ71623.1,57.1,7e-139,100,401
ABG96479.1,EPQ71624.1,77.86,0.0,100,633
ABG96481.1,EPQ71626.1,63.42,2e-127,96,367
ABG96482.1,EPQ71627.1,72.33,4e-131,99,372
ABG96483.1,EPQ73933.1,66.78,1e-125,100,361
ABG96484.1,EPQ73934.1,48.33,1e-101,91,309
ABG96485.1,EPQ80551.1,47.04,2e-102,100,306
ABG96486.1,EPQ74614.1,46.49,1e-94,97,290
ABG96487.1,EPQ71632.1,48.55,7e-117,87,351
ABG96488.1,EPQ80554.1,46.98,4e-108,91,325
ABG96489.1,EPQ74611.1,46.5,1e-129,99,386
ABG96492.1,EPQ80702.1,43.85,9e-62,95,196
ABG97566.1,EPQ70110.1,41.88,2e-62,99,199
ABG97567.1,EPQ72049.1,44.18,6e-58,99,185
ABG97568.1,EPQ71626.1,58.02,7e-111,93,325
ABG97571.1,EPQ75161.1,59.71,9e-112,93,327
ABG97574.1,EPQ71823.1,40.48,8e-72,97,224
ABG97575.1,EPQ73864.1,43.81,1e-148,95,442
ABG97580.1,EPQ71822.1,45.76,3e-80,96,246
ABG97583.1,EPQ74220.1,36.5,5e-42,93,145
ABG97586.1,EPQ70730.1,38.52,1e-35,98,128
ABG97587.1,EPQ75079.1,57.85,5e-96,99,284
ABG97589.1,EPQ71824.1,46.63,3e-129,99,379
ABG97593.1,EPQ71827.1,45.43,1e-172,99,514
ABG97594.1,EPQ70355.1,41.45,3e-48,90,164
ABG97599.1,EPQ80264.1,44.62,4e-134,90,402
ABG97602.1,EPQ71624.1,48.74,2e-127,99,374
ABG97603.1,EPQ74412.1,49.24,6e-42,41,142
ABG97604.1,EPQ71623.1,37.13,2e-56,98,188
ABG97605.1,EPQ74411.1,47.22,2e-40,95,133
ABG97606.1,EPQ74410.1,64.52,1e-164,99,469
ABH00046.1,EPQ71825.1,46.09,4e-103,96,309
ABH00047.1,EPQ79565.1,27.83,3e-32,82,122
ABH00048.1,EPQ71824.1,40.63,5e-91,95,281
ABH00049.1,EPQ71822.1,48.3,3e-94,94,282
ABH00054.1,EPQ79825.1,36.72,1e-40,78,144
ABH00058.1,EPQ71823.1,38.15,3e-60,88,194
ABH00067.1,EPQ73864.1,39.22,9e-114,93,352
ABH00072.1,EPQ70642.1,36.26,8e-66,85,216
ABH00074.1,EPQ75077.1,52.36,8e-126,97,370
ABH00079.1,EPQ72816.1,49.62,1e-179,97,530
ABH00080.1,EPQ79355.1,42.75,3e-50,81,171
ABH00083.1,EPQ80261.1,36.52,1e-119,93,372
ABH00084.1,EPQ73859.1,34.94,1e-71,98,239
ACY32015.1,EPQ70596.1,40.23,1e-79,96,249
ACY32016.1,EPQ73027.1,48.17,4e-148,99,434
ACY32017.1,EPQ74638.1,41.74,3e-50,98,165
ACY32018.1,EPQ72828.1,41.87,1e-45,95,153
ACY32021.1,EPQ71822.1,41.75,1e-67,98,213
ACY32022.1,EPQ71798.1,43.51,8e-77,95,237
ACY32023.1,EPQ71799.1,37.45,2e-45,98,153
ACY32024.1,EPQ71644.1,41.9,5e-63,91,202
ACY32025.1,EPQ71800.1,45.61,2e-88,97,271
ACY32026.1,EPQ71797.1,46.28,1e-68,95,213
ACY32027.1,EPQ71809.1,49.61,1e-126,99,371
ACY32029.1,EPQ71803.1,58.7,2e-157,99,450
ACY32031.1,EPQ75020.1,42.46,1e-94,88,297
ACY32032.1,EPQ71626.1,42.56,2e-63,97,202
ACY32033.1,EPQ80528.1,31.81,2e-45,94,160
ACY32034.1,EPQ71807.1,56.14,3e-139,98,404
ACY32035.1,EPQ71806.1,63.37,2e-101,92,297
ACY32040.1,EPQ74347.1,44.72,5e-101,95,305
ACY32042.1,EPQ73968.1,54.76,1e-140,100,407
ACY32043.1,EPQ73969.1,45.15,0.0,98,564
ACY32045.1,EPQ79234.1,32.28,2e-86,98,290
ACY32047.1,EPQ74666.1,36.25,6e-110,98,340
ACY32049.1,EPQ72473.1,43.49,1e-152,98,452
ACY32052.1,EPQ79565.1,25.84,7e-31,87,119
ACY32056.1,EPQ74061.1,44.31,2e-64,99,203
ACY32066.1,EPQ70377.1,29.25,6e-38,55,144
ACY32067.1,EPQ74379.1,45.91,0.0,99,590
ACY32068.1,EPQ72507.1,37.93,8e-48,100,160
ACY32075.1,EPQ74335.1,36.19,5e-36,93,129
ACY32077.1,EPQ74412.1,54.89,6e-48,41,158
ACY32078.1,EPQ71623.1,31.87,3e-40,96,145
ACY32079.1,EPQ74411.1,48.18,6e-43,97,139
ACY32080.1,EPQ74410.1,59.48,1e-148,98,428
ACY32081.1,EPQ71624.1,47.87,4e-122,100,360
ACY32082.1,EPQ74430.1,37.92,1e-115,94,357
ACY32097.1,EPQ70655.1,54.08,2e-120,96,353
ACY32098.1,EPQ70654.1,41.39,1e-72,93,228
ACY32100.1,EPQ71823.1,36.16,8e-44,92,150
ACY32102.1,EPQ71824.1,33.59,6e-74,97,236
ACY32103.1,EPQ73864.1,37.39,2e-102,93,322
ACY32104.1,EPQ72464.1,42.69,2e-135,91,407
ACY32105.1,EPQ71825.1,44.83,5e-98,96,296
ACY32106.1,EPQ71808.1,46.54,1e-150,96,443
CCP43859.1,EPQ74286.1,84.49,0.0,98,641
CCP46231.1,EPQ70339.1,90.78,0.0,99,1086
CCP46314.1,EPQ71636.1,78.62,2e-73,99,219
CCP46315.1,EPQ71635.1,75.0,3e-101,96,296
CCP46316.1,EPQ71634.1,83.87,0.0,100,849
CCP46317.1,EPQ71633.1,83.77,0.0,99,658
CCP46318.1,EPQ71632.1,83.14,0.0,93,708
CCP46319.1,EPQ71631.1,84.09,0.0,99,592
CCP46320.1,EPQ71630.1,87.83,0.0,99,577
CCP46321.1,EPQ71629.1,85.75,0.0,100,673
CCP46322.1,EPQ71628.1,95.71,3e-177,100,492
CCP46323.1,EPQ71627.1,98.82,2e-176,100,488
CCP46324.1,EPQ71626.1,83.0,2e-178,95,497
CCP46326.1,EPQ71624.1,89.25,0.0,100,714
CCP46327.1,EPQ71623.1,83.38,0.0,100,612
CCP46328.1,EPQ71622.1,81.25,0.0,99,811
CCP46331.1,EPQ71620.1,85.44,0.0,100,818
CCP46332.1,EPQ71619.1,85.35,2e-174,98,484
CCP46337.1,EPQ74666.1,40.51,1e-121,97,370
CCP46338.1,EPQ74650.1,35.5,1e-36,96,130
CCP46340.1,EPQ73926.1,28.0,2e-35,81,133
CCP46342.1,EPQ72413.1,43.67,3e-82,95,254
CCP46351.1,EPQ72480.1,33.6,4e-50,96,173
CCP46353.1,EPQ70090.1,27.64,1e-35,98,133
CCP46354.1,EPQ70662.1,59.95,3e-143,99,415
CCP46355.1,EPQ75015.1,67.77,4e-54,36,184
CCP46356.1,EPQ70655.1,51.06,5e-103,95,308
CCP46357.1,EPQ70654.1,42.19,7e-74,95,231
CCP46359.1,EPQ73864.1,41.49,7e-133,96,400
CCP46361.1,EPQ71679.1,53.82,9e-101,59,311
CCP46362.1,EPQ74410.1,65.45,4e-162,99,462
CCP46363.1,EPQ74411.1,45.04,8e-34,98,115
CCP46365.1,EPQ74663.1,32.12,2e-37,77,139
CCP46367.1,EPQ80436.1,74.24,0.0,98,649
CCP46372.1,EPQ71797.1,93.52,2e-169,100,469
CCP46373.1,EPQ71798.1,91.07,0.0,99,545
CCP46374.1,EPQ71799.1,88.4,1e-164,100,457
CCP46375.1,EPQ71800.1,89.86,0.0,100,612
CCP46376.1,EPQ71801.1,85.88,0.0,98,1218
CCP46377.1,EPQ73987.1,46.45,2e-73,98,228
CCP46378.1,EPQ71803.1,92.23,0.0,100,733
CCP46379.1,EPQ71804.1,90.71,8e-122,92,344
CCP46380.1,EPQ71805.1,61.37,3e-171,99,498
CCP46381.1,EPQ71806.1,95.45,2e-168,92,467
CCP46382.1,EPQ71807.1,92.99,0.0,100,731
CCP46383.1,EPQ71808.1,84.02,0.0,99,824
CCP46384.1,EPQ71809.1,90.16,0.0,99,704
CCP46385.1,EPQ71810.1,79.81,6e-154,99,436
CCP46386.1,EPQ71811.1,83.5,2e-161,97,455
CCP46388.1,EPQ71812.1,76.92,9e-154,96,432
CCP46390.1,EPQ71821.1,91.8,2e-124,98,350
CCP46391.1,EPQ71822.1,90.67,0.0,100,568
