ACY32031.1,EIV25591.1,40.32,3e-75,77,246
ACY32073.1,EIV22104.1,32.28,1e-34,97,125
CCP46231.1,EIV22250.1,79.44,0.0,99,915
CCP46314.1,EIV20850.1,51.88,9e-53,100,166
CCP46315.1,EIV21236.1,46.19,8e-53,95,171
CCP46316.1,EIV21450.1,65.27,0.0,76,580
CCP46317.1,EIV20986.1,56.58,1e-144,93,417
CCP46318.1,EIV20635.1,58.33,2e-177,98,507
CCP46319.1,EIV20481.1,63.53,1e-161,98,458
CCP46320.1,EIV20646.1,65.78,3e-157,97,446
CCP46321.1,EIV20712.1,58.23,7e-158,99,452
CCP46322.1,EIV21209.1,81.13,2e-145,95,410
CCP46323.1,EIV20458.1,87.25,3e-154,99,431
CCP46324.1,EIV20347.1,72.09,2e-150,95,426
CCP46326.1,EIV20341.1,84.0,0.0,100,664
CCP46327.1,EIV20701.1,64.88,1e-154,100,442
CCP46328.1,EIV20399.1,59.77,0.0,99,579
CCP46337.1,EIV20661.1,68.12,0.0,99,777
CCP46338.1,EIV21210.1,78.76,4e-151,98,424
CCP46338.1,EIV20715.1,48.31,2e-69,100,216
CCP46338.1,EIV27798.1,31.8,3e-39,97,137
CCP46342.1,EIV20275.1,77.51,0.0,97,545
CCP46343.1,EIV21323.1,73.27,1e-162,100,457
CCP46344.1,EIV21575.1,77.36,0.0,99,552
CCP46345.1,EIV20392.1,86.53,0.0,98,692
CCP46345.1,EIV20360.1,59.79,6e-163,97,464
CCP46347.1,EIV21078.1,65.58,3e-69,89,208
CCP46348.1,EIV20688.1,75.19,0.0,99,631
CCP46349.1,EIV20922.1,52.59,2e-45,89,146
CCP46351.1,EIV20409.1,71.58,0.0,99,577
CCP46353.1,EIV21009.1,69.23,0.0,100,562
CCP46353.1,EIV20779.1,59.07,6e-175,99,494
CCP46356.1,EIV30194.1,90.99,0.0,96,600
CCP46359.1,EIV30100.1,77.92,0.0,99,863
CCP46362.1,EIV30090.1,82.86,0.0,99,600
CCP46363.1,EIV30012.1,74.6,6e-58,98,176
CCP46364.1,EIV30149.1,70.97,1e-158,97,447
CCP46365.1,EIV30111.1,75.19,0.0,100,627
CCP46366.1,EIV30058.1,56.7,1e-132,99,384
CCP46367.1,EIV30095.1,76.63,0.0,95,667
CCP46367.1,EIV30066.1,64.25,0.0,96,554
CCP46372.1,EIV30178.1,78.37,1e-141,99,399
CCP46375.1,EIV30161.1,80.68,0.0,99,541
CCP46377.1,EIV29040.1,50.88,1e-100,99,298
CCP46377.1,EIV21287.1,52.52,1e-94,96,282
CCP46377.1,EIV26776.1,46.27,2e-66,91,210
CCP46378.1,EIV29914.1,79.02,0.0,100,639
CCP46379.1,EIV30003.1,71.12,8e-95,94,276
CCP46381.1,EIV30193.1,81.92,2e-154,99,432
CCP46382.1,EIV30071.1,77.11,0.0,99,608
CCP46383.1,EIV29941.1,65.16,0.0,99,667
CCP46384.1,EIV29944.1,74.27,0.0,100,578
CCP46385.1,EIV30163.1,64.74,5e-123,99,357
CCP46386.1,EIV30026.1,62.74,2e-130,98,376
CCP46390.1,EIV30001.1,77.78,3e-101,98,291
CCP46393.1,EIV30070.1,78.5,0.0,100,658
CCP46394.1,EIV30120.1,67.13,9e-176,99,494
CCP46394.1,EIV20531.1,56.65,8e-136,97,392
CCP46395.1,EIV29997.1,43.05,5e-36,85,124
CCP46396.1,EIV30083.1,60.5,0.0,99,801
CCP46397.1,EIV30170.1,74.87,4e-103,97,298
ABG94284.1,EIV25224.1,47.71,4e-46,93,149
ABG94285.1,EIV21480.1,69.2,4e-140,100,397
ABG94286.1,EIV20899.1,62.64,5e-110,99,320
ABG94290.1,EIV21306.1,55.44,4e-63,79,197
ABG94291.1,EIV21625.1,55.33,1e-94,95,284
ABG94292.1,EIV21496.1,63.97,1e-107,94,314
ABG94293.1,EIV20807.1,79.19,5e-177,99,493
ABG94294.1,EIV20828.1,77.35,0.0,100,652
ABG94295.1,EIV29976.1,30.58,7e-40,79,144
ABG94297.1,EIV21165.1,66.35,0.0,96,745
ABG96317.1,EIV29925.1,68.31,1e-128,99,369
ABG96319.1,EIV30180.1,73.56,1e-138,100,392
ABG96320.1,EIV29932.1,88.93,0.0,99,543
ABG96324.1,EIV22745.1,64.17,0.0,91,511
ABG96325.1,EIV30392.1,33.86,7e-67,98,218
ABG96326.1,EIV21537.1,44.74,4e-64,88,204
ABG96327.1,EIV30043.1,73.74,8e-170,99,474
ABG96436.1,EIV29936.1,76.79,7e-138,94,389
ABG96437.1,EIV30023.1,82.13,0.0,98,504
ABG96439.1,EIV30005.1,69.88,2e-124,99,356
ABG96440.1,EIV29968.1,78.36,2e-169,100,474
ABG96465.1,EIV29262.1,60.43,0.0,89,554
ABG96465.1,EIV20636.1,57.36,4e-170,85,487
ABG96467.1,EIV20288.1,48.06,7e-41,94,133
ABG96470.1,EIV20627.1,45.07,5e-91,99,278
ABG96471.1,EIV20669.1,45.14,2e-35,45,125
ABG96476.1,EIV21256.1,74.12,0.0,100,553
ABG96485.1,EIV21183.1,35.93,1e-56,98,188
ABG96486.1,EIV21598.1,30.91,1e-39,90,142
ABG96492.1,EIV29051.1,46.42,1e-71,95,222
ABG96493.1,EIV29947.1,58.28,3e-132,96,382
ABG97566.1,EIV27811.1,62.91,1e-125,99,360
ABG97574.1,EIV22165.1,64.56,2e-138,97,394
ABG97584.1,EIV20945.1,42.59,2e-74,79,238
ABG97585.1,EIV30109.1,41.67,1e-42,86,145
ABG97588.1,EIV21477.1,65.45,0.0,95,540
ABG97591.1,EIV20819.1,49.46,5e-57,91,179
ABG97599.1,EIV22130.1,68.49,0.0,99,763
ABG97600.1,EIV30309.1,71.86,2e-145,100,412
ABG97601.1,EIV30586.1,46.43,7e-39,90,129
ABH00084.1,EIV21155.1,66.3,0.0,98,746
