ABG94283.1,EOM77503.1,63.75,7e-110,99,318
ABG94285.1,EOM76569.1,72.99,4e-136,99,387
ABG94286.1,EOM76570.1,60.98,1e-101,99,298
ABG94288.1,EOM78559.1,43.49,4e-136,99,409
ABG94289.1,EOM77473.1,49.02,5e-45,89,146
ABG94290.1,EOM76562.1,53.5,1e-67,79,209
ABG94291.1,EOM78560.1,50.52,4e-85,91,259
ABG94292.1,EOM76561.1,57.74,2e-89,91,266
ABG94293.1,EOM76559.1,85.38,0.0,100,543
ABG94294.1,EOM76558.1,67.37,1e-146,73,419
ABG94295.1,EOM76556.1,76.9,0.0,93,619
ABG94297.1,EOM76571.1,65.65,0.0,95,704
ABG96269.1,EOM77484.1,48.03,1e-174,99,519
ABG96272.1,EOM77498.1,38.7,6e-54,86,179
ABG96273.1,EOM77500.1,54.68,3e-42,96,137
ABG96274.1,EOM77501.1,67.78,0.0,99,531
ABG96317.1,EOM77485.1,49.26,8e-77,93,236
ABG96318.1,EOM78559.1,45.9,3e-147,95,438
ABG96319.1,EOM75525.1,37.89,2e-37,97,132
ABG96322.1,EOM77570.1,63.2,2e-51,99,159
ABG96324.1,EOM76556.1,67.21,0.0,89,547
ABG96325.1,EOM77480.1,45.36,7e-122,98,359
ABG96326.1,EOM77474.1,42.76,9e-69,96,216
ABG96327.1,EOM76559.1,49.33,5e-103,99,305
ABG96328.1,EOM77473.1,51.57,2e-51,82,164
ABG96377.1,EOM74517.1,73.41,3e-177,99,497
ABG96378.1,EOM74516.1,69.43,8e-143,98,407
ABG96379.1,EOM74515.1,85.75,0.0,100,668
ABG96380.1,EOM74514.1,91.07,0.0,100,551
ABG96381.1,EOM74513.1,71.26,0.0,100,712
ABG96382.1,EOM74512.1,77.51,0.0,95,636
ABG96383.1,EOM74511.1,86.69,1e-164,99,459
ABG96384.1,EOM74510.1,74.13,2e-104,99,301
ABG96385.1,EOM74509.1,81.36,0.0,99,647
ABG96435.1,EOM74507.1,84.57,0.0,95,526
ABG96436.1,EOM74506.1,79.27,3e-148,97,416
ABG96437.1,EOM74505.1,81.18,9e-178,97,494
ABG96438.1,EOM74504.1,81.4,4e-134,100,380
ABG96439.1,EOM74503.1,81.42,9e-147,97,413
ABG96440.1,EOM74502.1,86.51,1e-178,100,497
ABG96475.1,EOM77488.1,41.24,5e-136,96,406
ABG96477.1,EOM77492.1,43.63,2e-133,99,400
ABG96478.1,EOM77499.1,37.3,2e-54,98,184
ABG96479.1,EOM77497.1,47.98,3e-124,100,365
ABG96481.1,EOM77468.1,58.16,5e-107,96,315
ABG97566.1,EOM75213.1,71.32,2e-144,98,408
ABG97568.1,EOM77468.1,77.74,1e-158,97,447
ABG97570.1,EOM77470.1,66.03,2e-71,96,214
ABG97571.1,EOM77471.1,60.07,8e-100,97,296
ABG97572.1,EOM77472.1,60.32,2e-125,100,362
ABG97573.1,EOM77473.1,63.69,3e-69,88,209
ABG97574.1,EOM77474.1,79.04,4e-176,100,489
ABG97575.1,EOM78559.1,44.1,6e-136,95,408
ABG97579.1,EOM77475.1,82.86,0.0,99,640
ABG97580.1,EOM77476.1,81.52,0.0,100,507
ABG97581.1,EOM77444.1,52.99,6e-111,96,332
ABG97583.1,EOM75458.1,38.61,1e-48,91,162
ABG97587.1,EOM77477.1,67.94,8e-113,99,327
ABG97588.1,EOM77479.1,77.17,0.0,95,624
ABG97589.1,EOM77480.1,62.47,2e-173,98,491
ABG97590.1,EOM74786.1,47.49,3e-126,95,380
ABG97591.1,EOM77481.1,64.53,2e-90,100,265
ABG97592.1,EOM77482.1,71.34,4e-158,83,449
ABG97593.1,EOM77484.1,66.44,0.0,99,849
ABG97594.1,EOM77485.1,59.86,4e-107,99,314
ABG97595.1,EOM77486.1,68.25,9e-100,98,290
ABG97596.1,EOM77487.1,68.91,1e-100,100,293
ABG97597.1,EOM77490.1,71.94,0.0,99,785
ABG97598.1,EOM77491.1,78.65,0.0,97,632
ABG97599.1,EOM77492.1,74.91,0.0,99,841
ABG97600.1,EOM77493.1,66.1,2e-131,99,376
ABG97602.1,EOM77497.1,79.27,0.0,99,629
ABG97603.1,EOM77498.1,73.77,7e-149,98,422
ABG97604.1,EOM77499.1,53.7,2e-114,99,339
ABG97605.1,EOM77500.1,78.79,6e-67,92,200
ABG97606.1,EOM77501.1,83.89,0.0,99,667
ABG97607.1,EOM77502.1,68.7,2e-109,97,318
ABG97608.1,EOM74503.1,60.16,2e-91,95,272
ABG97609.1,EOM77503.1,73.41,3e-134,99,380
ABG97610.1,EOM77504.1,71.22,8e-171,96,480
ABH00046.1,EOM77504.1,50.0,1e-111,96,330
ABH00047.1,EOM76556.1,66.58,0.0,98,540
ABH00048.1,EOM77475.1,60.67,4e-163,99,465
ABH00049.1,EOM76559.1,64.55,9e-146,97,414
ABH00051.1,EOM77489.1,38.33,5e-45,90,154
ABH00054.1,EOM77572.1,37.11,1e-41,81,147
ABH00056.1,EOM77473.1,46.91,6e-46,89,149
ABH00058.1,EOM77474.1,69.23,2e-152,95,429
ABH00061.1,EOM76562.1,66.19,5e-96,92,281
ABH00066.1,EOM76561.1,61.4,6e-95,89,280
ABH00072.1,EOM74827.1,42.18,7e-81,85,254
ABH00074.1,EOM76863.1,51.96,5e-122,99,359
ABH00079.1,EOM76571.1,64.35,0.0,99,704
ABH00080.1,EOM78560.1,58.03,2e-119,95,348
ABH00082.1,EOM77793.1,46.15,4e-58,75,187
ABH00083.1,EOM77374.1,34.91,1e-86,70,281
ABH00084.1,EOM78559.1,68.19,0.0,97,753
ACY32015.1,EOM75483.1,41.23,3e-83,95,258
ACY32016.1,EOM76693.1,47.96,9e-153,99,445
ACY32017.1,EOM76974.1,41.25,3e-47,98,157
ACY32021.1,EOM76559.1,41.9,3e-65,99,207
ACY32022.1,EOM74505.1,45.36,3e-75,93,233
ACY32023.1,EOM74506.1,41.42,3e-51,93,168
ACY32024.1,EOM74514.1,66.07,3e-135,93,386
ACY32025.1,EOM74507.1,48.52,9e-86,93,265
ACY32026.1,EOM74504.1,43.57,1e-46,95,156
ACY32027.1,EOM74515.1,51.92,3e-141,100,409
ACY32028.1,EOM74516.1,35.12,5e-46,89,160
ACY32029.1,EOM74509.1,61.1,5e-172,99,487
ACY32031.1,EOM76234.1,35.46,3e-59,89,203
ACY32032.1,EOM74502.1,54.15,7e-103,99,304
ACY32034.1,EOM74512.1,54.0,1e-137,98,400
ACY32035.1,EOM74511.1,60.69,3e-107,100,312
ACY32036.1,EOM75295.1,52.05,3e-45,89,145
ACY32037.1,EOM76711.1,29.48,1e-40,95,148
ACY32040.1,EOM75271.1,45.79,2e-105,94,316
ACY32042.1,EOM75125.1,55.82,2e-145,100,419
ACY32043.1,EOM75126.1,44.17,0.0,97,548
ACY32044.1,EOM77512.1,31.56,3e-56,95,196
ACY32045.1,EOM77484.1,32.7,3e-74,98,256
ACY32047.1,EOM77488.1,41.73,2e-130,98,392
ACY32052.1,EOM76556.1,31.71,1e-54,92,185
ACY32066.1,EOM76565.1,31.07,6e-45,54,163
ACY32067.1,EOM75157.1,47.4,0.0,99,610
ACY32076.1,EOM74503.1,60.89,9e-105,93,306
ACY32077.1,EOM77498.1,40.33,1e-66,92,212
ACY32078.1,EOM77499.1,31.69,4e-43,96,153
ACY32079.1,EOM77500.1,52.55,9e-43,99,138
ACY32080.1,EOM77501.1,60.62,3e-164,98,468
ACY32081.1,EOM77497.1,46.23,3e-117,97,347
ACY32082.1,EOM76115.1,38.04,1e-108,87,339
ACY32097.1,EOM77710.1,55.85,1e-136,99,394
ACY32098.1,EOM77709.1,56.45,1e-109,94,322
ACY32102.1,EOM77480.1,36.39,6e-81,95,254
ACY32103.1,EOM78559.1,34.62,1e-89,97,288
ACY32105.1,EOM77504.1,47.51,3e-107,95,319
ACY32106.1,EOM74513.1,45.83,2e-142,96,422
CCP46231.1,EOM75540.1,69.91,0.0,99,821
CCP46317.1,EOM76493.1,34.5,1e-48,88,169
CCP46323.1,EOM76519.1,53.14,1e-82,94,249
CCP46324.1,EOM77468.1,56.25,3e-96,96,288
CCP46326.1,EOM77497.1,46.52,6e-123,100,362
CCP46327.1,EOM77499.1,32.99,1e-38,99,141
CCP46331.1,EOM74854.1,43.67,9e-103,99,319
CCP46337.1,EOM77488.1,43.21,1e-139,96,416
CCP46342.1,EOM77782.1,40.0,6e-80,99,249
CCP46347.1,EOM76767.1,45.0,5e-37,92,126
CCP46348.1,EOM76556.1,59.62,7e-170,95,482
