ABG94285.1,AGF59843.1,45.22,5e-73,99,226
ABG94291.1,AGF67329.1,42.22,3e-34,70,127
ABG96268.1,AGF63241.1,45.81,6e-46,83,152
ABG96317.1,AGF63224.1,50.53,6e-81,98,248
ABG96325.1,AGF59896.1,31.48,1e-50,98,175
ABG96384.1,AGF62929.1,55.5,6e-71,94,216
ABG96385.1,AGF62928.1,57.7,3e-139,100,402
ABG96439.1,AGF64007.1,37.86,5e-31,90,115
ABG96440.1,AGF60451.1,45.02,8e-51,86,171
ABG96441.1,AGF64137.1,45.88,1e-69,90,219
ABG96442.1,AGF63240.1,59.18,3e-154,98,447
ABG96465.1,AGF63258.1,54.33,2e-36,27,130
ABG96475.1,AGF61645.1,56.21,6e-53,28,178
ABG96476.1,AGF61649.1,52.81,2e-57,48,188
ABG97564.1,AGF68257.1,35.8,2e-54,97,188
ABG97584.1,AGF64089.1,43.28,5e-75,81,241
ABG97585.1,AGF59923.1,46.86,7e-57,87,184
ABG97586.1,AGF60455.1,36.4,3e-34,99,124
ABG97589.1,AGF59896.1,31.41,1e-53,98,183
ABG97591.1,AGF63241.1,39.8,2e-42,97,142
ABG97594.1,AGF63224.1,52.94,3e-90,99,272
ABH00046.1,AGF64658.1,29.41,4e-34,94,129
ABH00048.1,AGF59896.1,26.26,1e-31,92,122
ABH00056.1,AGF63416.1,50.99,4e-50,83,161
ABH00072.1,AGF66948.1,32.98,2e-57,86,194
ABH00074.1,AGF62067.1,43.98,1e-35,49,134
ABH00080.1,AGF67791.1,37.45,1e-51,77,174
ABH00083.1,AGF64070.1,32.58,2e-69,72,235
ACY32015.1,AGF66360.1,37.05,2e-58,96,195
ACY32017.1,AGF67486.1,39.52,6e-36,97,129
ACY32018.1,AGF60533.1,39.04,5e-44,97,150
ACY32029.1,AGF62928.1,50.52,7e-114,99,337
ACY32030.1,AGF67271.1,32.56,1e-41,91,154
ACY32031.1,AGF67327.1,33.05,6e-37,87,140
ACY32033.1,AGF62066.1,34.14,5e-34,93,129
ACY32036.1,AGF68042.1,51.08,1e-45,84,147
ACY32040.1,AGF67047.1,47.47,1e-107,94,323
ACY32042.1,AGF67048.1,60.61,2e-149,95,431
ACY32043.1,AGF67049.1,46.12,0.0,99,589
ACY32045.1,AGF62067.1,38.25,1e-66,44,226
ACY32047.1,AGF61645.1,53.8,3e-50,29,171
ACY32056.1,AGF62188.1,37.6,7e-41,94,142
ACY32066.1,AGF60383.1,32.94,6e-59,69,211
ACY32067.1,AGF61707.1,50.37,0.0,99,644
ACY32073.1,AGF65772.1,39.76,8e-52,97,170
ACY32075.1,AGF65469.1,36.33,8e-41,94,142
ACY32102.1,AGF59896.1,32.17,6e-48,92,168
ACY32105.1,AGF64658.1,30.92,6e-48,97,166
CCP46231.1,AGF65305.1,61.01,0.0,98,629
CCP46331.1,AGF61783.1,32.09,3e-37,96,142
CCP46337.1,AGF61645.1,58.55,9e-54,28,180
CCP46340.1,AGF64822.1,37.03,1e-61,79,205
CCP46342.1,AGF62539.1,41.92,2e-79,94,248
CCP46347.1,AGF62166.1,48.75,8e-41,92,136
CCP46360.1,AGF63224.1,48.03,5e-71,98,222
CCP46367.1,AGF66568.1,38.44,4e-82,93,260
CCP46368.1,AGF63259.1,61.64,2e-167,99,476
CCP46370.1,AGF60451.1,44.44,1e-45,86,157
CCP46376.1,AGF64658.1,45.92,5e-89,51,283
CCP46378.1,AGF62928.1,50.39,4e-121,100,355
CCP46379.1,AGF62929.1,50.54,1e-62,93,194
CCP46383.1,AGF64186.1,37.53,1e-70,91,235
CCP46388.1,AGF63380.1,35.19,6e-32,90,119
CCP46390.1,AGF59898.1,44.17,1e-39,87,134
CCP46393.1,AGF59896.1,31.93,6e-52,95,179
CCP46396.1,AGF62067.1,44.38,4e-75,45,248
CCP46397.1,AGF63241.1,42.86,8e-45,91,149
