ACY32037.1,ACEZ01000207.1_72,62.25,0.0,95,1335
ACY32049.1,ACEZ01000122.1_65,33.8,2e-77,98,656
ACY32073.1,ACEZ01000167.1_53,39.36,4e-51,97,426
ACY32106.1,ACEZ01000122.1_73,51.92,7e-178,94,1325
CCP46337.1,ACEZ01000014.1_118,45.98,4e-145,96,1108
CCP46338.1,ACEZ01000014.1_117,52.34,8e-81,96,627
CCP46344.1,ACEZ01000014.1_115,56.7,5e-123,99,924
CCP46362.1,ACEZ01000122.1_74,48.57,6e-114,99,872
CCP46375.1,ACEZ01000015.1_60,66.67,2e-78,49,615
CCP46375.1,ACEZ01000015.1_61,70.83,1e-39,27,344
CCP46386.1,ACEZ01000123.1_25,37.02,2e-34,91,320
CCP46393.1,ACEZ01000035.1_8,28.79,2e-38,98,356
ABG96268.1,ACEZ01000097.1_53,45.5,2e-46,87,388
ABG96274.1,ACEZ01000133.1_99,68.99,2e-170,99,1245
ABG96318.1,ACEZ01000152.1_36,57.69,0.0,95,1612
ABG96378.1,ACEZ01000015.1_59,49.54,4e-70,98,566
ABG96379.1,ACEZ01000015.1_58,64.65,5e-175,100,1275
ABG96380.1,ACEZ01000015.1_57,71.48,5e-149,96,1083
ABG96382.1,ACEZ01000123.1_21,57.18,2e-138,92,1036
ABG96383.1,ACEZ01000015.1_56,64.71,2e-101,96,763
ABG96384.1,ACEZ01000015.1_55,58.06,7e-73,91,563
ABG96385.1,ACEZ01000226.1_69,68.93,0.0,100,1386
ABG96385.1,ACEZ01000015.1_54,71.38,1e-139,73,1030
ABG96435.1,ACEZ01000015.1_61,67.0,1e-39,28,343
ABG96436.1,ACEZ01000015.1_62,60.8,1e-107,98,803
ABG96437.1,ACEZ01000015.1_63,57.29,5e-109,97,819
ABG96438.1,ACEZ01000015.1_64,66.8,4e-115,95,855
ABG96439.1,ACEZ01000015.1_65,61.6,8e-98,96,739
ABG96440.1,ACEZ01000015.1_66,67.66,9e-137,99,1005
ABG96440.1,ACEZ01000123.1_22,44.16,5e-55,97,461
ABG96442.1,ACEZ01000097.1_52,57.62,2e-148,99,1111
ABG96465.1,ACEZ01000099.1_3,61.08,0.0,85,1333
ABG96469.1,ACEZ01000014.1_114,67.52,0.0,100,1361
ABG96471.1,ACEZ01000014.1_116,47.04,2e-89,98,695
ABG96472.1,ACEZ01000097.1_48,51.46,1e-108,99,827
ABG96476.1,ACEZ01000014.1_126,57.33,2e-140,99,1044
ABG96477.1,ACEZ01000111.1_158,48.78,2e-137,98,1056
ABG96479.1,ACEZ01000015.1_26,53.67,3e-148,100,1099
ABG96488.1,ACEZ01000097.1_10,44.55,3e-92,79,732
ABG97564.1,ACEZ01000224.1_11,35.29,3e-58,91,488
ABG97568.1,ACEZ01000097.1_38,57.96,3e-112,96,845
ABG97571.1,ACEZ01000122.1_68,45.21,6e-56,73,467
ABG97584.1,ACEZ01000121.1_79,40.06,4e-69,80,575
ABG97589.1,ACEZ01000031.1_52,31.9,8e-43,98,388
ABG97594.1,ACEZ01000097.1_40,55.17,1e-87,90,678
ABG97603.1,ACEZ01000133.1_101,45.28,5e-80,97,632
ABG97604.1,ACEZ01000137.1_29,41.18,5e-56,98,478
ABG97605.1,ACEZ01000133.1_100,63.57,7e-50,90,397
