ABG94293.1,CCK32593.1,32.07,1e-40,94,145
ABG96268.1,CCK30453.1,45.81,3e-46,83,153
ABG96274.1,CCK29017.1,68.38,9e-169,99,479
ABG96318.1,CCK28261.1,56.72,0.0,95,568
ABG96325.1,CCK26878.1,29.97,1e-36,93,136
ABG96326.1,CCK32592.1,39.55,5e-53,88,176
ABG96377.1,CCK29380.1,41.05,4e-59,94,196
ABG96378.1,CCK30808.1,46.08,4e-75,98,234
ABG96379.1,CCK30809.1,65.46,8e-174,100,492
ABG96381.1,CCK29391.1,51.86,8e-175,98,505
ABG96382.1,CCK29358.1,60.28,9e-137,84,399
ABG96383.1,CCK30810.1,66.28,1e-102,96,301
ABG96384.1,CCK30811.1,55.0,1e-73,98,223
ABG96385.1,CCK30812.1,71.17,0.0,100,556
ABG96436.1,CCK30815.1,55.14,4e-92,96,273
ABG96437.1,CCK30816.1,56.62,4e-99,92,294
ABG96438.1,CCK30817.1,63.16,5e-111,96,322
ABG96439.1,CCK30818.1,59.09,5e-93,93,276
ABG96440.1,CCK30819.1,68.75,7e-144,100,410
ABG96442.1,CCK30454.1,58.39,9e-151,98,437
ABG96465.1,CCK30409.1,62.07,0.0,85,523
ABG96466.1,CCK25054.1,46.67,1e-103,93,315
ABG96469.1,CCK32561.1,67.77,0.0,100,547
ABG96471.1,CCK32559.1,47.95,6e-92,98,278
ABG96472.1,CCK30458.1,50.86,2e-110,99,327
ABG96476.1,CCK32542.1,58.38,3e-136,99,395
ABG96477.1,CCK29818.1,49.8,1e-145,97,432
ABG96478.1,CCK28795.1,37.24,6e-53,99,181
ABG96479.1,CCK32527.1,55.44,5e-154,100,442
ABG97564.1,CCK30465.1,36.72,6e-52,91,176
ABG97568.1,CCK30474.1,61.11,7e-120,95,349
ABG97571.1,CCK29396.1,44.75,2e-47,73,162
ABG97574.1,CCK25763.1,38.08,4e-51,93,171
ABG97584.1,CCK29453.1,40.53,4e-71,82,231
ABG97585.1,CCK25243.1,45.26,2e-61,97,196
ABG97586.1,CCK24809.1,36.84,1e-39,98,139
ABG97589.1,CCK26878.1,29.19,6e-38,95,140
ABG97594.1,CCK30472.1,54.23,2e-91,97,275
ABG97603.1,CCK29015.1,47.39,4e-81,98,249
ABG97605.1,CCK29016.1,63.25,1e-49,82,157
ABH00053.1,CCK32804.1,60.83,5e-165,99,468
ACY32017.1,CCK25365.1,38.68,1e-37,98,133
ACY32049.1,CCK29399.1,32.64,2e-71,98,241
ACY32073.1,CCK27517.1,37.75,3e-44,98,150
CCP46231.1,CCK28015.1,59.23,0.0,97,623
CCP46337.1,CCK32557.1,46.27,2e-145,96,432
CCP46338.1,CCK32558.1,52.71,2e-84,97,254
CCP46344.1,CCK32560.1,56.29,2e-123,99,361
CCP46362.1,CCK29390.1,48.02,2e-113,98,338
CCP46375.1,CCK30814.1,69.71,3e-160,99,456
CCP46386.1,CCK29354.1,39.46,1e-38,92,139
CCP46388.1,CCK30106.1,36.16,5e-31,90,117
CCP46392.1,CCK25763.1,40.3,3e-50,90,168
CCP46393.1,CCK30610.1,31.59,5e-39,95,143
