Command:,/Users/martin/source/executables/vxtractor.pl -h HMMs/bacteria/ -c testfile.output.csv -o testfile.output.fasta testfile.fasta
Options:,Don't include HMM in fasta
Sequence,V01leftlong,V01leftshort,V01rightlong,V01rightshort,V02leftlong,V02leftshort,V02rightlong,V02rightshort,V03leftlong,V03leftshort,V03rightlong,V03rightshort,V04leftlong,V04leftshort,V04rightlong,V04rightshort,V05leftlong,V05leftshort,V05rightlong,V05rightshort,V06leftlong,V06leftshort,V06rightlong,V06rightshort,V07leftlong,V07leftshort,V07rightlong,V07rightshort,V08leftlong,V08leftshort,V08rightlong,V08rightshort,V09leftlong,V09leftshort,V09rightlong,V09rightshort,V10leftlong,V10leftshort,V10rightlong,V10rightshort,V11leftlong,V11leftshort,V11rightlong,V11rightshort,V12leftlong,V12leftshort,V12rightlong,V12rightshort,V13leftlong,V13leftshort,V13rightlong,V13rightshort,V14leftlong,V14leftshort,V14rightlong,V14rightshort,V15leftlong,V15leftshort,V15rightlong,V15rightshort,V16leftlong,V16leftshort,V16rightlong,V16rightshort,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16
"'AAHN02000051.2372.5796","'1-56","'11-56","'185-249","'185-249","'185-249","'185-249","'286-331","'286-331","'286-331","'286-331","'439-499","'439-499","'439-499","'439-499","'659-727","'659-727","'659-727","'659-727","'755-815","'755-815","'755-815","'755-815","'931-1000","'931-1000","'931-1000","'931-1000","'1041-1101","'1041-1101","'1041-1101","'1041-1101","'1220-1275","'1220-1275","'1220-1275","'1220-1275","'1297-1344","'1297-1344","'1297-1344","'1297-1344","'1412-1456","'1412-1456","'1412-1456","'1412-1456","'1650-1687","'1650-1687","'1650-1687","'1650-1687","'1875-1948","'1875-1948","'1875-1948","'1875-1948","'2189-2244","'2189-2244","'2189-2244","'2189-2244","'2362-2411","'2362-2411","'2362-2411","'2362-2411","'2508-2579","'2508-2579","'2508-2579","'2508-2579","'2796-2879","'2796-2859","'57-184","'250-285","'332-438","'500-658","'728-754","'816-930","'1001-1040","'1102-1219","'1276-1296","'1345-1411","'1457-1649","'1688-1874","'1949-2188","'2245-2361","'2412-2507","'2580-2795","'"
"'AAJU02000038.1231.4154","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'664-732","'664-732","'664-732","'664-732","'760-820","'760-820","'760-820","'760-820","'936-1005","'936-1005","'936-1005","'936-1005","'1047-1107","'1047-1107","'1047-1107","'1047-1107","'1228-1283","'1228-1283","'1228-1283","'1228-1283","'1305-1352","'1305-1352","'1305-1352","'1305-1352","'1420-1464","'1420-1464","'1420-1464","'1420-1464","'1662-1699","'1662-1699","'1662-1699","'1662-1699","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-663","'733-759","'821-935","'1006-1046","'1108-1227","'1284-1304","'1353-1419","'1465-1661","'1700-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
"'AAYT01000010.68194.71099","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'664-731","'664-731","'664-731","'664-731","'759-819","'759-819","'759-819","'759-819","'935-1004","'935-1004","'935-1004","'935-1004","'1046-1106","'1046-1106","'1046-1106","'1046-1106","'1228-1283","'1228-1283","'1228-1283","'1228-1283","'1305-1352","'1305-1352","'1305-1352","'1305-1352","'1420-1464","'1420-1464","'1420-1464","'1420-1464","'1665-1702","'1665-1702","'1665-1702","'1665-1702","'1902-1975","'1902-1975","'1902-1975","'1902-1975","'2216-2271","'2216-2271","'2216-2271","'2216-2271","'2389-2438","'2389-2438","'2389-2438","'2389-2438","'2535-2606","'2535-2606","'2535-2606","'2535-2606","'2823-2906","'2823-2886","'59-189","'255-293","'340-441","'504-663","'732-758","'820-934","'1005-1045","'1107-1227","'1284-1304","'1353-1419","'1465-1664","'1703-1901","'1976-2215","'2272-2388","'2439-2534","'2607-2822","'"
"'AAYV01000014.110325.113231","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'664-732","'664-732","'664-732","'664-732","'760-820","'760-820","'760-820","'760-820","'936-1005","'936-1005","'936-1005","'936-1005","'1047-1107","'1047-1107","'1047-1107","'1047-1107","'1229-1284","'1229-1284","'1229-1284","'1229-1284","'1306-1353","'1306-1353","'1306-1353","'1306-1353","'1421-1465","'1421-1465","'1421-1465","'1421-1465","'1666-1703","'1666-1703","'1666-1703","'1666-1703","'1903-1976","'1903-1976","'1903-1976","'1903-1976","'2217-2272","'2217-2272","'2217-2272","'2217-2272","'2390-2439","'2390-2439","'2390-2439","'2390-2439","'2536-2607","'2536-2607","'2536-2607","'2536-2607","'2824-2907","'2824-2887","'59-189","'255-293","'340-441","'504-663","'733-759","'821-935","'1006-1046","'1108-1228","'1285-1305","'1354-1420","'1466-1665","'1704-1902","'1977-2216","'2273-2389","'2440-2535","'2608-2823","'"
"'AB035921.2904.5808","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'667-735","'667-735","'667-735","'667-735","'763-823","'763-823","'763-823","'763-823","'939-1008","'939-1008","'939-1008","'939-1008","'1050-1110","'1050-1110","'1050-1110","'1050-1110","'1231-1286","'1231-1286","'1231-1286","'1231-1286","'1308-1355","'1308-1355","'1308-1355","'1308-1355","'1423-1467","'1423-1467","'1423-1467","'1423-1467","'1665-1702","'1665-1702","'1665-1702","'1665-1702","'1901-1974","'1901-1974","'1901-1974","'1901-1974","'2215-2270","'2215-2270","'2215-2270","'2215-2270","'2388-2437","'2388-2437","'2388-2437","'2388-2437","'2534-2605","'2534-2605","'2534-2605","'2534-2605","'2822-2905","'2822-2885","'59-189","'255-293","'340-441","'504-666","'736-762","'824-938","'1009-1049","'1111-1230","'1287-1307","'1356-1422","'1468-1664","'1703-1900","'1975-2214","'2271-2387","'2438-2533","'2606-2821","'"
"'AB537929.1.2901","'1-55","'10-55","'183-247","'183-247","'183-247","'183-247","'321-366","'321-366","'321-366","'321-366","'472-532","'472-532","'472-532","'472-532","'695-763","'695-763","'695-763","'695-763","'791-851","'791-851","'791-851","'791-851","'967-1036","'967-1036","'967-1036","'967-1036","'1078-1139","'1078-1139","'1078-1139","'1078-1139","'1257-1311","'1257-1311","'1257-1311","'1257-1311","'1333-1380","'1333-1380","'1333-1380","'1333-1380","'1448-1493","'1448-1493","'1448-1493","'1448-1493","'1693-1730","'1693-1730","'1693-1730","'1693-1730","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2818-2900","'2818-2881","'56-182","'248-320","'367-471","'533-694","'764-790","'852-966","'1037-1077","'1140-1256","'1312-1332","'1381-1447","'1494-1692","'1731-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2817","'"
"'ABAM02000001.3206277.3209181","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1229-1284","'1229-1284","'1229-1284","'1229-1284","'1306-1353","'1306-1353","'1306-1353","'1306-1353","'1421-1465","'1421-1465","'1421-1465","'1421-1465","'1665-1702","'1665-1702","'1665-1702","'1665-1702","'1901-1974","'1901-1974","'1901-1974","'1901-1974","'2215-2270","'2215-2270","'2215-2270","'2215-2270","'2388-2437","'2388-2437","'2388-2437","'2388-2437","'2534-2605","'2534-2605","'2534-2605","'2534-2605","'2822-2905","'2822-2885","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1228","'1285-1305","'1354-1420","'1466-1664","'1703-1900","'1975-2214","'2271-2387","'2438-2533","'2606-2821","'"
"'ABCZ02000007.4827.7746","'1-56","'11-56","'190-254","'190-254","'190-254","'190-254","'335-381","'335-381","'335-381","'335-381","'487-547","'487-547","'487-547","'487-547","'709-777","'709-777","'709-777","'709-777","'805-865","'805-865","'805-865","'805-865","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1272-1326","'1272-1326","'1272-1326","'1272-1326","'1348-1395","'1348-1395","'1348-1395","'1348-1395","'1470-1515","'1470-1515","'1470-1515","'1470-1515","'1712-1749","'1712-1749","'1712-1749","'1712-1749","'1921-1994","'1921-1994","'1921-1994","'1921-1994","'2236-2290","'2236-2290","'2236-2290","'2236-2290","'2408-2457","'2408-2457","'2408-2457","'2408-2457","'2554-2625","'2554-2625","'2554-2625","'2554-2625","'2838-2920","'2838-2901","'57-189","'255-334","'382-486","'548-708","'778-804","'866-980","'1051-1091","'1153-1271","'1327-1347","'1396-1469","'1516-1711","'1750-1920","'1995-2235","'2291-2407","'2458-2553","'2626-2837","'"
"'ABDN02000008.36713.39632","'1-56","'11-56","'190-254","'190-254","'190-254","'190-254","'335-381","'335-381","'335-381","'335-381","'487-547","'487-547","'487-547","'487-547","'709-777","'709-777","'709-777","'709-777","'805-865","'805-865","'805-865","'805-865","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1272-1326","'1272-1326","'1272-1326","'1272-1326","'1348-1395","'1348-1395","'1348-1395","'1348-1395","'1470-1515","'1470-1515","'1470-1515","'1470-1515","'1712-1749","'1712-1749","'1712-1749","'1712-1749","'1921-1994","'1921-1994","'1921-1994","'1921-1994","'2236-2290","'2236-2290","'2236-2290","'2236-2290","'2408-2457","'2408-2457","'2408-2457","'2408-2457","'2554-2625","'2554-2625","'2554-2625","'2554-2625","'2838-2920","'2838-2901","'57-189","'255-334","'382-486","'548-708","'778-804","'866-980","'1051-1091","'1153-1271","'1327-1347","'1396-1469","'1516-1711","'1750-1920","'1995-2235","'2291-2407","'2458-2553","'2626-2837","'"
"'ABDN02000008.59985.62904","'1-56","'11-56","'190-254","'190-254","'190-254","'190-254","'335-381","'335-381","'335-381","'335-381","'487-547","'487-547","'487-547","'487-547","'709-777","'709-777","'709-777","'709-777","'805-865","'805-865","'805-865","'805-865","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1272-1326","'1272-1326","'1272-1326","'1272-1326","'1348-1395","'1348-1395","'1348-1395","'1348-1395","'1470-1515","'1470-1515","'1470-1515","'1470-1515","'1712-1749","'1712-1749","'1712-1749","'1712-1749","'1921-1994","'1921-1994","'1921-1994","'1921-1994","'2236-2290","'2236-2290","'2236-2290","'2236-2290","'2408-2457","'2408-2457","'2408-2457","'2408-2457","'2554-2625","'2554-2625","'2554-2625","'2554-2625","'2838-2920","'2838-2901","'57-189","'255-334","'382-486","'548-708","'778-804","'866-980","'1051-1091","'1153-1271","'1327-1347","'1396-1469","'1516-1711","'1750-1920","'1995-2235","'2291-2407","'2458-2553","'2626-2837","'"
