ACY32015.1,ARCK01000036.1_41,31.34,3e-42,97,151
ACY32017.1,ARCK01000037.1_3,35.68,3e-38,98,134
ACY32017.1,ARCK01000067.1_7,34.41,2e-37,98,132
ACY32017.1,ARCK01000011.1_94,37.5,3e-37,99,131
ACY32017.1,ARCK01000003.1_82,35.12,1e-32,97,119
ACY32018.1,ARCK01000019.1_45,38.04,1e-34,96,125
ACY32029.1,ARCK01000047.1_12,60.99,9e-164,99,466
ACY32031.1,ARCK01000019.1_81,35.97,8e-56,89,194
ACY32031.1,ARCK01000006.1_123,35.42,6e-44,77,161
ACY32033.1,ARCK01000012.1_66,32.89,1e-35,94,133
ACY32040.1,ARCK01000018.1_31,44.65,2e-92,98,284
ACY32045.1,ARCK01000012.1_65,40.36,4e-63,39,217
ACY32056.1,ARCK01000010.1_37,34.57,2e-38,94,135
ACY32065.1,ARCK01000030.1_55,37.5,2e-33,84,119
ACY32073.1,ARCK01000013.1_98,41.57,8e-60,100,191
ACY32073.1,ARCK01000003.1_128,36.03,5e-34,96,123
ACY32073.1,ARCK01000010.1_73,35.69,2e-33,99,122
ACY32075.1,ARCK01000002.1_188,35.02,1e-43,94,149
ACY32097.1,ARCK01000019.1_31,55.36,2e-132,99,384
ACY32105.1,ARCK01000004.1_190,30.03,1e-33,97,127
CCP46231.1,ARCK01000014.1_53,62.17,0.0,94,643
CCP46342.1,ARCK01000023.1_12,42.12,5e-81,95,252
CCP46347.1,ARCK01000010.1_98,41.88,4e-34,92,119
CCP46356.1,ARCK01000019.1_31,47.73,6e-99,96,298
CCP46357.1,ARCK01000019.1_32,57.7,5e-110,96,323
CCP46358.1,ARCK01000019.1_33,47.49,1e-63,84,201
CCP46358.1,ARCK01000019.1_30,37.01,3e-39,97,137
CCP46360.1,ARCK01000048.1_21,46.59,2e-65,98,207
CCP46376.1,ARCK01000004.1_190,42.86,5e-81,50,263
CCP46378.1,ARCK01000047.1_12,65.37,1e-179,100,507
CCP46383.1,ARCK01000006.1_33,34.87,2e-64,90,219
CCP46388.1,ARCK01000003.1_172,33.97,1e-34,91,127
CCP46396.1,ARCK01000012.1_65,46.15,2e-71,45,239
CCP46397.1,ARCK01000048.1_29,41.62,6e-40,86,135
ABH00065.1,ARCK01000019.1_30,34.88,3e-33,96,121
ABH00074.1,ARCK01000012.1_65,48.67,1e-33,39,128
ABH00076.1,ARCK01000037.1_3,36.84,7e-40,98,139
ABH00080.1,ARCK01000036.1_27,38.91,6e-46,78,158
ABH00083.1,ARCK01000028.1_10,36.24,1e-92,75,296
ABH00083.1,ARCK01000005.1_165,35.48,2e-63,60,218
ABG96268.1,ARCK01000048.1_29,45.66,1e-41,80,140
ABG96317.1,ARCK01000048.1_21,51.24,6e-80,98,244
ABG96385.1,ARCK01000047.1_12,70.23,0.0,100,561
ABG96441.1,ARCK01000047.1_20,46.69,9e-67,90,211
ABG96442.1,ARCK01000048.1_28,58.11,2e-149,98,434
ABG97564.1,ARCK01000056.1_20,37.42,2e-55,93,184
ABG97564.1,ARCK01000023.1_41,35.81,1e-54,90,181
ABG97564.1,ARCK01000013.1_73,34.95,4e-54,93,181
ABG97564.1,ARCK01000011.1_112,35.53,3e-53,91,178
ABG97564.1,ARCK01000001.1_88,40.79,1e-50,83,172
ABG97585.1,ARCK01000001.1_68,36.71,3e-33,87,122
ABG97591.1,ARCK01000048.1_29,37.57,9e-33,85,117
ABG97594.1,ARCK01000048.1_21,55.36,8e-87,99,262
ABG94292.1,ARCK01000019.1_34,44.1,6e-46,74,155
