ABG94285.1,AAS03768.1,70.55,2e-132,99,969
ABG94286.1,AAS03766.1,61.05,4e-101,99,760
ABG94288.1,AAS03013.1,46.11,1e-164,99,1240
ABG94290.1,AAS03748.1,46.96,3e-66,94,523
ABG94291.1,AAS03762.1,54.36,2e-101,91,772
ABG94292.1,AAS03763.1,66.11,3e-104,91,781
ABG94294.1,AAS03765.1,74.11,0.0,100,1597
ABG94295.1,AAS05199.1,27.47,4e-33,79,314
ABG94297.1,AAS06059.1,33.0,1e-72,86,621
ABG96274.1,AAS04907.1,66.23,7e-176,99,1279
ABG96324.1,AAS04694.1,30.91,2e-32,77,310
ABG96377.1,AAS04973.1,37.64,9e-42,97,375
ABG96380.1,AAS03799.1,31.25,2e-32,82,302
ABG96381.1,AAS03097.1,47.72,5e-155,98,1163
ABG96382.1,AAS02999.1,37.81,1e-77,94,627
ABG96439.1,AAS02665.1,40.98,3e-45,92,388
ABG96442.1,AAS03983.1,66.11,0.0,100,1378
ABG96467.1,AAS02858.1,54.2,2e-49,96,392
ABG96468.1,AAS04280.1,38.43,2e-62,98,507
ABG96475.1,AAS04697.1,40.19,5e-128,94,993
ABG96479.1,AAS04902.1,53.67,4e-136,100,1018
ABG96482.1,AAS03074.1,72.76,1e-124,96,913
ABG96483.1,AAS03075.1,65.72,1e-120,100,893
ABG96484.1,AAS03076.1,47.61,1e-102,90,797
ABG96485.1,AAS03077.1,49.11,9e-93,99,719
ABG96486.1,AAS04508.1,43.61,1e-82,91,654
ABG96487.1,AAS04509.1,46.11,5e-110,89,852
ABG96488.1,AAS03081.1,43.5,3e-97,93,763
ABG96489.1,AAS03082.1,49.61,3e-122,83,949
ABG97567.1,AAS02667.1,43.85,4e-59,97,478
ABG97574.1,AAS03769.1,64.91,4e-129,96,951
ABG97588.1,AAS03751.1,66.04,0.0,93,1377
ABG97590.1,AAS05948.1,46.25,5e-112,92,879
ABG97600.1,AAS03816.1,52.25,3e-91,98,700
ABG97602.1,AAS06135.1,33.16,7e-51,96,444
ABG97603.1,AAS04903.1,50.99,2e-40,47,351
ABG97604.1,AAS04905.1,45.82,5e-79,99,632
ABH00051.1,AAS03759.1,70.07,2e-141,96,1034
ABH00059.1,AAS03760.1,51.11,3e-65,81,510
ABH00060.1,AAS03761.1,48.31,3e-34,100,288
ABH00070.1,AAS03755.1,47.1,1e-71,90,577
ABH00079.1,AAS03767.1,60.99,0.0,97,1770
ABH00083.1,AAS03758.1,41.76,6e-172,97,1306
ABH00084.1,AAS03750.1,64.9,0.0,97,1827
ACY32017.1,AAS05685.1,40.0,2e-48,97,405
ACY32031.1,AAS02898.1,36.94,1e-77,91,646
ACY32049.1,AAS06490.1,43.99,1e-158,98,1202
ACY32077.1,AAS04904.1,55.81,3e-48,40,401
ACY32079.1,AAS04906.1,49.65,7e-48,99,383
ACY32093.1,AAS03779.1,51.36,8e-142,99,1057
ACY32105.1,AAS05686.1,36.78,5e-51,73,434
ACY32106.1,AAS04719.1,31.32,2e-56,96,500
CCP43859.1,AAS05005.1,84.97,0.0,99,1681
CCP46231.1,AAS06830.1,89.74,8e-44,13,378
CCP46314.1,AAS02888.1,76.73,2e-75,99,570
CCP46315.1,AAS02887.1,75.25,4e-99,83,743
CCP46316.1,AAS02886.1,85.88,0.0,77,1960
CCP46317.1,AAS02885.1,82.03,0.0,100,1679
CCP46318.1,AAS02884.1,79.49,0.0,96,1811
CCP46319.1,AAS02883.1,81.2,0.0,98,1475
CCP46320.1,AAS02882.1,83.43,0.0,100,1501
CCP46321.1,AAS02881.1,85.22,0.0,95,1712
CCP46322.1,AAS02880.1,92.14,0.0,100,1290
CCP46323.1,AAS02879.1,94.88,3e-171,100,1221
CCP46324.1,AAS02878.1,82.03,3e-180,97,1291
CCP46325.1,AAS02877.1,93.65,8e-37,100,294
CCP46326.1,AAS02876.1,88.16,0.0,99,1853
CCP46327.1,AAS02875.1,84.62,5e-169,77,1222
CCP46328.1,AAS02873.1,83.87,0.0,99,2128
CCP46331.1,AAS02870.1,84.41,0.0,81,1512
CCP46332.1,AAS02869.1,85.66,2e-174,97,1246
CCP46337.1,AAS02867.1,90.11,0.0,99,2638
CCP46338.1,AAS02866.1,91.6,2e-179,99,1276
CCP46339.1,AAS02865.1,67.38,4e-123,100,910
CCP46340.1,AAS02864.1,80.51,0.0,98,1687
CCP46341.1,AAS02863.1,69.87,2e-119,100,876
CCP46342.1,AAS02862.1,86.01,0.0,99,1546
CCP46343.1,AAS02861.1,83.83,0.0,100,1341
CCP46344.1,AAS02860.1,88.67,0.0,99,1672
CCP46345.1,AAS02859.1,91.71,0.0,98,1815
CCP46347.1,AAS02857.1,83.33,2e-104,100,763
CCP46349.1,AAS02855.1,77.08,2e-70,96,533
CCP46351.1,AAS02854.1,88.65,0.0,99,1828
CCP46352.1,AAS02853.1,82.31,2e-161,100,1157
CCP46353.1,AAS02852.1,87.73,0.0,100,1791
CCP46356.1,AAS02850.1,92.65,0.0,98,1659
