ABG96274.1,BAG20433.1,67.44,0.0,99,520
ABG96320.1,BAG17394.1,39.86,1e-55,97,183
ABG96325.1,BAG23208.1,31.84,7e-41,98,148
ABG96377.1,BAG19853.1,39.07,9e-45,94,158
ABG96378.1,BAG22319.1,45.57,5e-67,98,214
ABG96379.1,BAG22320.1,63.14,1e-168,100,479
ABG96381.1,BAG19843.1,50.97,9e-174,99,502
ABG96382.1,BAG19879.1,58.44,1e-132,92,389
ABG96384.1,BAG22322.1,55.5,5e-74,98,223
ABG96385.1,BAG22323.1,69.87,0.0,100,537
ABG96436.1,BAG22327.1,54.92,5e-91,96,271
ABG96437.1,BAG22328.1,56.7,4e-101,97,300
ABG96438.1,BAG22329.1,65.02,2e-107,94,313
ABG96440.1,BAG22330.1,67.76,1e-130,99,376
ABG96442.1,BAG22016.1,59.07,6e-137,98,401
ABG96465.1,BAG21998.1,61.35,0.0,86,528
ABG96466.1,BAG17261.1,45.17,2e-97,91,299
ABG96471.1,BAG23662.1,50.32,6e-99,96,296
ABG96475.1,BAG23660.1,43.81,1e-134,96,404
ABG96476.1,BAG23627.1,55.14,1e-133,99,389
ABG96479.1,BAG23604.1,54.43,1e-150,100,434
ABG97568.1,BAG22038.1,58.47,5e-112,96,329
ABG97571.1,BAG21051.1,42.92,9e-49,70,165
ABG97584.1,BAG19259.1,52.5,1e-128,97,379
ABG97585.1,BAG21584.1,41.74,3e-41,87,142
ABG97586.1,BAG23617.1,38.08,7e-35,98,126
ABG97591.1,BAG22015.1,43.75,4e-47,95,155
ABG97593.1,BAG22032.1,47.67,8e-178,99,530
ABG97594.1,BAG22036.1,54.14,9e-84,99,255
ABG97599.1,BAG21537.1,47.55,8e-138,98,413
ABG97602.1,BAG20437.1,53.27,4e-135,99,394
ABG97603.1,BAG20436.1,50.0,3e-86,97,263
ABG97604.1,BAG20565.1,38.66,8e-56,98,188
ABG97605.1,BAG20434.1,57.25,1e-45,85,147
ABG97608.1,BAG17659.1,68.53,3e-119,98,343
ACY32015.1,BAG18520.1,35.96,2e-60,95,200
ACY32035.1,BAG22321.1,59.69,7e-98,98,289
ACY32049.1,BAG21054.1,31.79,1e-66,98,228
ACY32086.1,BAG21098.1,36.79,2e-100,96,318
CCP46337.1,BAG23660.1,45.98,2e-134,95,404
CCP46338.1,BAG23661.1,52.14,3e-79,97,241
CCP46342.1,BAG22022.1,50.44,3e-102,99,306
CCP46344.1,BAG23663.1,54.0,3e-107,99,320
CCP46345.1,BAG23664.1,68.12,0.0,99,526
CCP46357.1,BAG17394.1,41.52,4e-57,95,187
CCP46362.1,BAG19844.1,47.27,7e-113,99,337
CCP46375.1,BAG22326.1,66.28,3e-149,96,428
CCP46381.1,BAG22321.1,64.06,1e-97,97,288
CCP46386.1,BAG19883.1,36.59,1e-36,90,134
CCP46393.1,BAG17456.1,30.0,1e-45,98,162
