"subject_name","qseqid","sseqid","pident","evalue","qcovhsp","bitscore"
"Chl_ferrooxidans_KoFox","WP_006365810.1","WP_006365810.1",100,4.43e-113,100,313
"Chl_ferrooxidans_KoFox","WP_006367305.1","WP_006367305.1",100,0,100,602
"Chl_ferrooxidans_KoFox","WP_006367307.1","WP_006367307.1",100,0,100,493
"Chl_ferrooxidans_KoFox","WP_006367308.1","WP_006367308.1",100,0,100,611
"Chl_ferrooxidans_KoFox","WP_006367309.1","WP_006367309.1",100,0,100,1232
"Chl_ferrooxidans_KoFox","WP_006367310.1","WP_006367310.1",100,9.92e-113,100,312
"Chl_ferrooxidans_KoFox","WP_006367320.1","WP_006367320.1",100,0,100,732
"Chl_ferrooxidans_KoFox","WP_006367321.1","WP_006367321.1",100,0,100,572
"Chl_ferrooxidans_KoFox","WP_006367322.1","WP_006367322.1",100,0,100,555
"Chl_ferrooxidans_KoFox","WP_006367323.1","WP_006367323.1",100,0,100,690
"Chl_ferrooxidans_KoFox","WP_006367388.1","WP_006367388.1",100,0,100,839
"Chl_ferrooxidans_KoFox","WP_006367389.1","WP_006367389.1",100,3.03e-88,100,248
"Chl_luteolum_DSM_273","WP_006365810.1","WP_011356871.1",71.429,3.44e-81,99,233
"Chl_luteolum_DSM_273","WP_006367305.1","WP_011358288.1",53.004,2.91e-111,96,321
"Chl_luteolum_DSM_273","WP_006367307.1","WP_011358287.1",67.257,1.4e-114,95,324
"Chl_luteolum_DSM_273","WP_006367308.1","WP_011358286.1",79.522,0,100,505
"Chl_luteolum_DSM_273","WP_006367309.1","WP_011358285.1",71.953,0,100,887
"Chl_luteolum_DSM_273","WP_006367310.1","WP_041463880.1",53.147,6.59e-57,95,171
"Chl_luteolum_DSM_273","WP_006367320.1","WP_011358284.1",75.35,0,100,560
"Chl_luteolum_DSM_273","WP_006367321.1","WP_011358283.1",71.831,4.43e-142,98,398
"Chl_luteolum_DSM_273","WP_006367322.1","WP_011358282.1",77.256,2.87e-155,100,430
"Chl_luteolum_DSM_273","WP_006367323.1","WP_011358281.1",76.347,0,98,528
"Chl_luteolum_DSM_273","WP_006367388.1","WP_011358173.1",53.364,1.93e-147,100,421
"Chl_phaeoferrooxidans_KB01","WP_006365810.1","WP_076790319.1",98.71,4.23e-112,100,311
"Chl_phaeoferrooxidans_KB01","WP_006367305.1","WP_076789648.1",93.151,0,100,571
"Chl_phaeoferrooxidans_KB01","WP_006367307.1","WP_076790657.1",95.359,1.95e-173,100,473
"Chl_phaeoferrooxidans_KB01","WP_006367308.1","WP_076790659.1",97.952,0,100,603
"Chl_phaeoferrooxidans_KB01","WP_006367309.1","WP_076790661.1",97.496,0,100,1201
"Chl_phaeoferrooxidans_KB01","WP_006367310.1","WP_076790662.1",82.667,4.04e-93,100,263
"Chl_phaeoferrooxidans_KB01","WP_006367320.1","WP_076790666.1",96.078,0,100,704
"Chl_phaeoferrooxidans_KB01","WP_006367321.1","WP_076790668.1",93.426,0,100,543
"Chl_phaeoferrooxidans_KB01","WP_006367322.1","WP_076790669.1",98.917,0,100,552
"Chl_phaeoferrooxidans_KB01","WP_006367323.1","WP_076790671.1",97.345,0,100,674
"Chl_phaeoferrooxidans_KB01","WP_006367388.1","WP_076792910.1",89.538,0,100,744
"Chl_phaeoferrooxidans_KB01","WP_006367389.1","WP_076793039.1",94.915,4.83e-85,100,239
"Chl_sp_N1","WP_006367388.1","WP_131354685.1",57.178,1.12e-155,98,442
"Ignavibacterium_album_JCM_16511_outgroup","WP_006367320.1","WP_014560057.1",44.558,6.6e-80,79,246
"L227_enr_S_6D_bin01","WP_006367305.1","L227_S_6D_8_81",67.347,1.69e-150,99,419
"L227_enr_S_6D_bin01","WP_006367307.1","L227_S_6D_8_80",70.042,2.05e-129,100,362
"L227_enr_S_6D_bin01","WP_006367308.1","L227_S_6D_8_79",92.15,0,100,571
"L227_enr_S_6D_bin01","WP_006367309.1","L227_S_6D_8_78",83.278,0,99,1046
"L227_enr_S_6D_bin01","WP_006367320.1","L227_S_6D_8_72",84.594,0,100,628
"L227_enr_S_6D_bin01","WP_006367321.1","L227_S_6D_8_71",85.357,1.23e-176,97,485
"L227_enr_S_6D_bin01","WP_006367322.1","L227_S_6D_8_70",88.809,1.29e-171,100,471
"L227_enr_S_6D_bin01","WP_006367323.1","L227_S_6D_8_69",84.071,0,100,586
"L227_enr_S_6D_bin01","WP_006367388.1","L227_S_6D_2_284",56.876,1.99e-158,100,449
"L227_enr_S_6D_bin01","WP_006367389.1","L227_S_6D_2_283",52.542,2.35e-43,98,135
"L304_enr_S_6D_bin01","WP_006365810.1","L304_S_6D_5_93",87.742,4.53e-100,100,281
"L304_enr_S_6D_bin01","WP_006367305.1","L304_S_6D_0_85",66.304,1.17e-140,94,395
"L304_enr_S_6D_bin01","WP_006367307.1","L304_S_6D_0_84",72.574,3.79e-131,100,366
"L304_enr_S_6D_bin01","WP_006367308.1","L304_S_6D_0_83",88.055,0,100,546
"L304_enr_S_6D_bin01","WP_006367309.1","L304_S_6D_0_82",79.153,0,98,976
"L304_enr_S_6D_bin01","WP_006367320.1","L304_S_6D_0_81",82.682,0,100,608
"L304_enr_S_6D_bin01","WP_006367321.1","L304_S_6D_0_80",80.657,1.04e-162,95,450
"L304_enr_S_6D_bin01","WP_006367322.1","L304_S_6D_0_79",81.387,4.55e-138,99,387
"L304_enr_S_6D_bin01","WP_006367323.1","L304_S_6D_0_78",78.466,0,100,540
"L304_enr_S_6D_bin01","WP_006367388.1","L304_S_6D_0_449",54.386,2.69e-147,95,421
